,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,"If natural fertilizer used, type",How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of MIXED fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
2404,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,2.0,1.0,1.0,8.0,2.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,23.0,184.17,13.261962681993609,20.0,0.0,20.0,0.0,0.4,169953.0,0.169953,1699.53,1699.27,1699.53,1.0,322865.0,3.22865,322.865,41.0
2405,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,2.0,1.0,0.0,23.0,184.17,13.261962681993609,4.0,0.0,5.0,0.0,1.56,32748.0,0.032748,327.48,333.63,327.48,2.0,62212.0,0.62212,62.212,10.0
2410,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,6.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,1.0,100.0,3.0,1.0,0.0,46.0,184.17,5.6,2.5,0.0,2.5,0.0,3.39,10608.0,0.010608,106.08,99.73,106.08,1.0,20153.0,0.20153,20.153,5.0
2411,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,7.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,3.0,1.0,0.0,46.0,184.17,7.0,10.0,0.0,10.0,0.0,1.63,29623.0,0.029623,296.23,279.73,296.23,3.0,56275.0,0.56275,56.275,20.0
2412,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,3.0,1.0,0.0,46.0,184.17,8.0,12.5,0.0,12.5,0.0,4.11,47742.0,0.047742,477.42,614.09,477.42,4.0,90698.0,0.90698,90.698,25.0
2416,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,3.0,1.0,0.0,74.0,184.17,6.8,6.5,0.0,7.5,0.0,1.09,29681.0,0.029681,296.81,314.5,296.81,4.0,56387.0,0.56387,56.387,14.0
2417,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,3.0,1.0,0.0,74.0,184.17,13.6,6.0,0.0,5.0,0.0,2.76,51290.0,0.05129,512.9,503.24,512.9,4.0,97438.0,0.97438,97.438,11.0
2418,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,2.0,1.0,1.0,8.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,3.0,1.0,0.0,77.0,184.17,13.261962681993609,3.84,0.0,5.0,0.0,3.74,20840.0,0.02084,208.4,198.46,198.46,4.0,39590.0,0.3959,39.59,8.84
2419,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,3.0,1.0,1.0,8.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,77.0,184.17,13.261962681993609,14.29,0.0,6.0,0.0,1.81,57000.0,0.057,570.0,496.7,570.0,8.0,108285.0,1.08285,108.285,21.29
2420,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,4.0,1.0,1.0,8.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,3.0,1.0,0.0,77.0,184.17,25.0,7.25,0.0,9.08,0.0,1.29,68908.0,0.068908,689.08,611.77,689.08,3.0,130907.0,1.30907,130.907,16.33
2428,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,3.0,2.0,1.0,8.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,4.0,326.08,6.8,20.0,0.0,20.0,0.0,1.7379636249456547,115187.0,0.115187,1151.87,1369.1838170877845,1380.4153842809528,1.0,161894.0,1.61894,161.894,41.0
2434,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,20.0,326.08,5.0,5.0,0.0,4.0,0.0,1.7379636249456547,22509.0,0.022509,225.09,1369.1838170877845,1380.4153842809528,8.0,31636.0,0.31636,31.636,10.0
2438,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,28.0,326.08,5.5,0.025,0.0,25.0,0.0,1.7379636249456547,39024.0,0.039024,390.24,1369.1838170877845,1380.4153842809528,0.25,54848.0,0.54848,54.848,26.025
2446,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,60.0,326.08,4.0,10.0,0.0,10.0,0.0,1.7379636249456547,34598.0,0.034598,345.98,1369.1838170877845,1380.4153842809528,0.12,48627.0,0.48627,48.627,21.0
2448,50.0,1.0,2.0,2.0,15.0,9.0,2.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,68.0,326.08,7.0,20.0,0.0,20.0,0.0,1.7379636249456547,25591.0,0.025591,255.91,1369.1838170877845,1380.4153842809528,0.25,35968.0,0.35968,35.968,41.0
2455,50.0,1.0,2.0,2.0,15.0,9.0,2.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,84.0,326.08,4.5,10.0,0.0,10.0,0.0,1.7379636249456547,9892.0,0.009892,98.92,1369.1838170877845,1380.4153842809528,3.0,13904.0,0.13904,13.904,21.0
2457,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,92.0,326.08,6.6,10.0,0.0,10.0,0.0,1.7379636249456547,79100.0,0.0791,791.0,1369.1838170877845,1380.4153842809528,0.25,111175.0,1.11175,111.175,21.0
2465,50.0,1.0,2.0,2.0,15.0,9.0,2.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,124.0,326.08,6.6,20.0,0.0,15.0,0.0,1.7379636249456547,83915.0,0.083915,839.15,1369.1838170877845,1380.4153842809528,0.25,117943.0,1.17943,117.943,36.0
2469,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,132.0,326.08,6.5,0.0,0.0,0.0,0.0,1.7379636249456547,9508.0,0.009508,95.08,1369.1838170877845,1380.4153842809528,3.0,13363.0,0.13363,13.363,1.0
2477,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,2.0,100.0,1.0,1.0,0.0,156.0,326.08,5.0,10.0,0.0,10.0,0.0,1.7379636249456547,85820.0,0.08582,858.2,1369.1838170877845,1380.4153842809528,0.25,120619.0,1.20619,120.619,21.0
2487,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,22.0,218.7,18.3,7.0,0.0,10.0,0.0,0.74,88142.0,0.088142,881.42,881.42,881.42,0.5,172891.0,1.72891,172.891,17.0
2495,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,33.0,218.7,24.4,23.7,0.0,20.5,0.0,0.54,121142.0,0.121142,1211.42,1211.42,1211.42,0.5,237621.0,2.37621,237.621,44.2
2496,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,3.0,1.0,0.0,33.0,218.7,12.2,6.32,0.0,6.56,0.0,1.5,43686.0,0.043686,436.86,436.86,436.86,1.5,85690.0,0.8569,85.69,12.879999999999999
2497,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,3.0,1.0,0.0,33.0,218.7,12.2,6.32,0.0,6.56,0.0,0.76,47277.0,0.047277,472.77,472.77,472.77,1.5,92735.0,0.92735,92.735,12.879999999999999
2499,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,6.0,1.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,50.0,1.0,1.0,0.0,33.0,218.7,9.15,0.0,0.0,0.0,0.0,0.63,39379.0,0.039379,393.79,393.79,393.79,0.25,77242.0,0.77242,77.242,1.0
2500,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,7.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,33.0,218.7,18.3,15.01,0.0,15.58,0.0,0.31,48984.0,0.048984,489.84,490.03,489.84,0.5,96083.0,0.96083,96.083,30.59
2502,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,80.0,3.0,1.0,0.0,58.0,218.7,13.261962681993609,10.27,0.0,4.1,0.0,0.62,75320.0,0.07532,753.2,753.2,753.2,1.0,147741.0,1.47741,147.741,15.37
2507,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,94.0,218.7,13.261962681993609,5.0,0.0,0.0,0.0,1.79,48590.0,0.04859,485.9,485.9,485.9,1.0,95310.0,0.9531,95.31,6.0
2508,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,94.0,218.7,15.2,4.85,0.0,4.1,0.0,0.67,78396.0,0.078396,783.96,783.96,783.96,1.0,153775.0,1.53775,153.775,9.95
2509,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,5.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,94.0,218.7,10.0,3.16,0.0,1.64,0.0,0.56,71848.0,0.071848,718.48,718.48,718.48,0.3,140931.0,1.40931,140.931,5.8
2511,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,3.0,1.0,0.0,100.0,218.7,11.0,10.0,0.0,10.0,0.0,0.99,56941.0,0.056941,569.41,569.41,569.41,1.0,111691.0,1.11691,111.691,20.0
2512,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,90.0,3.0,1.0,0.0,106.0,218.7,13.261962681993609,11.0,0.0,0.0,0.0,0.63,74875.0,0.074875,748.75,748.75,748.75,5.0,146868.0,1.46868,146.868,11.0
2513,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,106.0,218.7,13.261962681993609,12.68,0.0,0.0,0.0,0.7,166702.0,0.166702,1667.02,1667.02,1667.02,0.75,326989.0,3.26989,326.989,12.68
2516,50.0,1.0,2.0,2.0,25.0,3.0,1.0,1.0,1.0,4.0,2.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,4.0,1.0,2.0,75.0,4.0,1.0,0.0,2.0,325.59,2.72,1.0,0.0,0.49,0.0,3.28,15643.0,0.015643,156.43,156.43,156.43,1.0,11839.0,0.11839,11.839,5.49
2547,50.0,1.0,2.0,2.0,25.0,3.0,1.0,1.0,5.0,6.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,17.0,325.59,1.02,1.435,0.0,2.75,0.0,0.26,21384.0,0.021384,213.84,213.86,213.84,1.05,16183.0,0.16183,16.183,5.1850000000000005
2605,50.0,1.0,2.0,2.0,25.0,3.0,2.0,1.0,5.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,47.0,325.59,10.2,2.72,0.0,2.72,0.0,2.33,245162.0,0.245162,2451.62,2451.62,2451.62,1.0,185539.0,1.85539,185.539,6.44
2606,50.0,1.0,2.0,2.0,25.0,3.0,2.0,1.0,6.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,47.0,325.59,10.2,2.72,0.0,2.72,0.0,3.01,224351.0,0.224351,2243.51,2243.51,2243.51,1.0,169790.0,1.6979,169.79,6.44
2642,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,4.0,296.02,9.94,7.38,0.0,7.31,0.0,1.14,55553.0,0.055553,555.53,555.53,555.53,0.25,160449.0,1.60449,160.449,14.69
2645,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,6.0,1.0,0.0,9.0,296.02,2.16,0.21,0.0,0.25,0.0,2.35,12029.0,0.012029,120.29,1369.1838170877845,120.29,2.0,34742.0,0.34742,34.742,1.46
2649,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,3.0,2.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,50.0,6.0,1.0,0.0,9.0,296.02,1.75,2.23,0.0,2.2,0.0,1.21,19818.0,0.019818,198.18,198.18,198.18,4.0,57239.0,0.57239,57.239,4.43
2651,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,4.0,2.0,8.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,50.0,6.0,1.0,0.0,9.0,296.02,1.25,2.5,0.0,2.45,0.0,2.04,8243.0,0.008243,82.43,82.43,82.43,3.0,23807.0,0.23807,23.807,4.95
2659,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,2.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,50.0,4.0,1.0,0.0,14.0,296.02,2.16,2.63,0.0,2.62,0.0,0.3,12498.0,0.012498,124.98,124.98,124.98,4.0,36097.0,0.36097,36.097,5.25
2661,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,3.0,2.0,2.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,50.0,4.0,1.0,0.0,14.0,296.02,2.11,2.28,0.0,2.29,0.0,0.37,11262.0,0.011262,112.62,112.47,112.62,2.0,32527.0,0.32527,32.527,4.57
2663,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,3.0,3.0,2.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,50.0,4.0,1.0,0.0,14.0,296.02,1.48,2.16,0.0,2.18,0.0,0.16,9854.0,0.009854,98.54,98.54,98.54,3.0,28461.0,0.28461,28.461,4.34
2665,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,3.0,4.0,2.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,50.0,4.0,1.0,0.0,14.0,296.02,3.58,4.56,0.0,4.54,0.0,1.34,15836.0,0.015836,158.36,158.36,158.36,4.0,45737.0,0.45737,45.737,9.1
2667,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,19.0,296.02,7.68,4.72,0.0,4.63,0.0,1.5,35709.0,0.035709,357.09,357.09,357.09,4.0,103136.0,1.03136,103.136,10.35
2669,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,6.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,6.0,1.0,0.0,19.0,296.02,3.25,1.46,0.0,1.5,0.0,2.3,12215.0,0.012215,122.15,122.15,122.15,2.0,35279.0,0.35279,35.279,2.96
