,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of UREA fertilizer used, if both DAP and UREA are used","Quantity of DAP fertilizer used, if both DAP and UREA are used",Quantity of NPS fertilizer used,Quantity of UREA IF both UREA and NPS are used,Quantity of NPS IF both UREA and NPS are used,Quantity of OTHER fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
234,50.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,106.0,547.23,345.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.35,175109.0,0.175109,1751.09,1647.77,1652.91,1.0,209271.0,2.09271,209.271,13.0
239,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,14.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,119.0,547.23,23.4,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,334544.0,0.334544,3345.44,1225.9174993184465,3157.86,1.5,399810.0,3.9981,399.81,8.0
240,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,119.0,547.23,31.2,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,414383.0,0.414383,4143.83,3911.49,3911.49,3.0,495225.0,4.95225,495.225,15.0
247,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,100.0,1.0,1.0,0.0,145.0,547.23,23.4,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,250864.0,0.250864,2508.64,2354.67,2367.98,2.0,299805.0,2.99805,299.805,18.0
257,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,100.0,1.0,1.0,0.0,184.0,547.23,9.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,189341.0,0.189341,1893.41,1787.25,1787.25,2.0,226279.0,2.26279,226.279,0.0
259,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,7.0,542.58,10.78,0.0,10.27,0.0,0.0,0.0,0.0,0.0,0.0,4.3,217389.0,0.217389,2173.89,2052.0,2052.0,1.0,259800.0,2.598,259.8,10.27
260,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,5.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,7.0,542.58,15.4,0.0,22.12,0.0,0.0,0.0,0.0,0.0,0.0,3.54,208809.0,0.208809,2088.09,1971.01,1971.01,2.0,249546.0,2.49546,249.546,22.12
261,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,6.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,100.0,1.0,1.0,0.0,7.0,542.58,49.404082083647324,0.0,9.48,0.0,0.0,0.0,0.0,0.0,0.0,1.8,94146.0,0.094146,941.46,888.67,888.67,0.5,112513.0,1.12513,112.513,9.48
263,50.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,22.0,542.58,11.55,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,274126.0,0.274126,2741.26,2587.56,2587.56,0.5,327605.0,3.27605,327.605,10.0
266,50.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,4.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,37.0,542.58,1.54,0.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,3.4,39764.0,0.039764,397.64,375.34,375.34,1.0,47521.0,0.47521,47.521,2.37
268,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,52.0,542.58,23.1,0.0,22.64,0.0,0.0,0.0,0.0,0.0,0.0,4.44,324531.0,0.324531,3245.31,3063.35,3063.35,1.0,387843.0,3.87843,387.843,22.64
270,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,52.0,542.58,7.7,0.0,10.44,0.0,0.0,0.0,0.0,0.0,0.0,3.78,30438.0,0.030438,304.38,287.31,287.31,1.0,36376.0,0.36376,36.376,10.44
271,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,2.0,4.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,52.0,542.58,38.5,0.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,3.02,468034.0,0.468034,4680.34,4417.92,4417.92,2.5,559343.0,5.59343,559.343,31.6
272,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,3.0,2.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,52.0,542.58,11.55,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,1.42,323659.0,0.323659,3236.59,3055.12,3055.12,1.0,386802.0,3.86802,386.802,7.9
274,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,67.0,542.58,23.1,0.0,0.0,12.5,10.0,0.0,0.0,0.0,0.0,4.92,316072.0,0.316072,3160.72,2983.5,2983.5,2.0,377735.0,3.77735,377.735,22.5
289,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,157.0,542.58,10.01,0.0,21.85,0.0,0.0,0.0,0.0,0.0,0.0,1.2,100181.0,0.100181,1001.81,945.64,945.64,0.75,119725.0,1.19725,119.725,21.85
292,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,172.0,542.58,15.4,0.0,15.85,0.0,0.0,0.0,0.0,0.0,0.0,1.41,347014.0,0.347014,3470.14,3275.57,3275.57,1.0,414713.0,4.14713,414.713,15.85
293,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,4.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,172.0,542.58,1.54,0.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,4.39,80930.0,0.08093,809.3,763.92,763.92,2.0,96719.0,0.96719,96.719,2.58
294,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,5.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,172.0,542.58,12.32,0.0,9.48,0.0,0.0,0.0,0.0,0.0,0.0,1.06,375747.0,0.375747,3757.47,3546.79,3546.79,1.5,449051.0,4.49051,449.051,9.48
297,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,187.0,542.58,15.4,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.46,320035.0,0.320035,3200.35,3020.91,3020.91,1.5,382471.0,3.82471,382.471,20.0
301,50.0,1.0,1.0,2.0,14.0,3.0,2.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,3.0,379.22,31.4,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,306393.0,0.306393,3063.93,2892.14,2892.14,2.5,366167.0,3.66167,366.167,25.0
303,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,13.0,379.22,35.325,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,297807.0,0.297807,2978.07,1225.9174993184465,2811.09,2.5,355906.0,3.55906,355.906,60.0
304,50.0,1.0,1.0,2.0,14.0,3.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,13.0,379.22,49.404082083647324,0.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.79,316148.0,0.316148,3161.48,2779.7,2984.22,1.5,377825.0,3.77825,377.825,75.0
306,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,22.0,379.22,39.25,0.0,0.0,12.0,50.0,0.0,0.0,0.0,0.0,1.2,515385.0,0.515385,5153.85,4992.6,4864.88,4.5,615932.0,6.15932,615.932,62.0
308,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,22.0,379.22,3.93,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.28,33548.0,0.033548,335.48,316.67,316.67,0.5,40093.0,0.40093,40.093,8.0
309,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,3.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,22.0,379.22,14.13,0.0,0.0,7.0,25.0,0.0,0.0,0.0,0.0,2.08,197145.0,0.197145,1971.45,1225.9174993184465,1860.91,1.5,235606.0,2.35606,235.606,32.0
311,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,31.0,379.22,49.404082083647324,0.0,0.0,12.5,25.0,0.0,0.0,0.0,0.0,0.25,312252.0,0.312252,3122.52,2947.44,2947.44,2.5,373170.0,3.7317,373.17,37.5
313,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,31.0,379.22,23.55,0.0,0.0,12.5,25.0,0.0,0.0,0.0,0.0,1.05,314816.0,0.314816,3148.16,1225.9174993184465,2971.64,2.5,376234.0,3.76234,376.234,37.5
315,50.0,1.0,1.0,2.0,14.0,3.0,2.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,41.0,379.22,19.63,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,196642.0,0.196642,1966.42,1225.9174993184465,1856.16,1.5,235005.0,2.35005,235.005,20.0
317,50.0,1.0,1.0,2.0,14.0,3.0,2.0,1.0,2.0,2.0,1.0,7.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,41.0,379.22,15.7,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,222657.0,0.222657,2226.57,2101.73,2101.73,2.0,266095.0,2.66095,266.095,25.0
319,50.0,1.0,1.0,2.0,14.0,3.0,2.0,1.0,1.0,4.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,50.0,379.22,3.93,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,95837.0,0.095837,958.37,904.63,904.63,0.75,114534.0,1.14534,114.534,15.0
323,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,59.0,379.22,62.8,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.96,321209.0,0.321209,3212.09,3031.99,3031.99,4.0,383874.0,3.83874,383.874,14.0
324,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,2.0,2.0,1.0,7.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,59.0,379.22,31.4,0.0,0.0,8.0,75.0,0.0,0.0,0.0,0.0,0.56,293750.0,0.29375,2937.5,1225.9174993184465,2772.8,2.5,351058.0,3.51058,351.058,83.0
326,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,68.0,379.22,11.78,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,301559.0,0.301559,3015.59,2846.51,2846.51,2.5,360390.0,3.6039,360.39,50.0
328,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,77.0,379.22,49.404082083647324,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,1.74,405907.0,0.405907,4059.07,2189.76,3831.48,2.5,485095.0,4.85095,485.095,100.0
331,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,95.0,379.22,7.85,0.0,0.0,12.5,25.0,0.0,0.0,0.0,0.0,1.72,180763.0,0.180763,1807.63,1720.42,1706.28,1.5,216028.0,2.16028,216.028,37.5
333,50.0,1.0,1.0,2.0,14.0,3.0,2.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,104.0,379.22,15.7,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.72,87629.0,0.087629,876.29,827.16,827.16,1.0,104725.0,1.04725,104.725,37.5
334,50.0,1.0,1.0,2.0,14.0,3.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,104.0,379.22,47.1,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,415558.0,0.415558,4155.58,6307.74,3922.58,3.0,496629.0,4.96629,496.629,60.0
336,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,113.0,379.22,23.55,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,224267.0,0.224267,2242.67,2094.89,2116.92,2.0,268019.0,2.68019,268.019,25.0
339,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,122.0,379.22,23.55,0.0,27.83,0.0,0.0,0.0,0.0,0.0,0.0,0.77,225513.0,0.225513,2255.13,2128.69,2128.69,2.0,269508.0,2.69508,269.508,27.83
340,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,122.0,379.22,39.25,0.0,41.75,0.0,0.0,0.0,0.0,0.0,0.0,1.65,276400.0,0.2764,2764.0,2609.02,2609.02,2.5,330323.0,3.30323,330.323,41.75
343,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,131.0,379.22,23.55,0.0,0.0,16.0,51.0,0.0,0.0,0.0,0.0,1.78,221933.0,0.221933,2219.33,2094.89,2094.89,2.0,265230.0,2.6523,265.23,67.0
344,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,6.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,131.0,379.22,23.55,0.0,0.0,16.0,51.0,0.0,0.0,0.0,0.0,4.01,328865.0,0.328865,3288.65,3104.26,3104.26,3.0,393024.0,3.93024,393.024,67.0
348,50.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,8.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,100.0,3.0,1.0,0.0,1.0,436.86,1.96,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.29,21887.0,0.021887,218.87,206.6,206.6,1.0,48089.0,0.48089,48.089,5.0
349,50.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,9.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,1.0,436.86,4.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.04,127167.0,0.127167,1271.67,1200.37,1200.37,0.5,279402.0,2.79402,279.402,20.0
350,50.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,10.0,436.86,8.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.41,136399.0,0.136399,1363.99,1287.57,1287.51,1.0,299686.0,2.99686,299.686,25.0
353,50.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,46.0,436.86,5.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,1.89,456939.0,0.456939,4569.39,4348.18,4313.19,2.0,1003953.0,10.03953,1003.953,25.0
355,50.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,100.0,3.0,1.0,0.0,46.0,436.86,2.235,0.0,0.0,2.5,2.5,0.0,0.0,0.0,0.0,2.49,41084.0,0.041084,410.84,387.8,387.8,2.0,90267.0,0.90267,90.267,5.0
