,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of BLENDED fertilizer used,Area in Square meter,Respondent local area,Holder Condition,Production Of Condition in Kg,Fertilizer Quantity
672,1.0,1.0,3.0,10.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,37.0,359.8,3.9,2.5,0.0,2.5,0.0,2030.67,0.5,0.0,428.61,5.0
693,1.0,1.0,3.0,10.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,5.0,1.0,2.0,100.0,62.0,359.8,4.25,0.0,0.0,0.0,0.0,409.6,144.0,0.0,86.453,0.0
848,1.0,1.0,3.0,16.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,220.0,955.0,0.25,0.5,0.0,0.5,0.0,98.48,1.0,0.0,20.785,1.0
857,1.0,1.0,3.0,18.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,100.0,17.0,448.31,1.5,2.0,0.0,2.0,0.0,466.95,0.12,0.0,98.558,4.0
929,1.0,1.0,4.0,7.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,100.0,380.82,1.2,0.0,0.0,0.0,0.0,189.24,2.0,0.0,31.174,0.0
1898,1.0,2.0,1.0,13.0,11.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,100.0,43.0,767.79,16.0,0.0,0.0,30.0,0.0,1705.8,0.33,0.0,309.722,30.0
1902,1.0,2.0,1.0,13.0,11.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,25.0,64.0,767.79,10.0,0.0,0.0,0.0,0.0,302.78,2.0,0.0,54.975,0.0
1958,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,2.0,100.0,33.0,509.46,10.0,0.0,0.0,5.0,0.0,256.3,0.25,0.0,64.921,5.0
1983,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,2.0,100.0,65.0,509.46,5.0,0.0,0.0,5.0,0.0,197.35,0.25,0.0,49.99,5.0
1988,1.0,2.0,2.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,100.0,69.0,509.46,5.0,0.0,0.0,5.0,0.0,493.8,0.5,0.0,125.079,5.0
1995,1.0,2.0,2.0,2.0,7.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,2.0,100.0,73.0,509.46,5.0,0.0,0.0,12.0,0.0,123.1,0.25,0.0,31.181,12.0
2009,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,8.0,501.22,3.0,0.0,0.0,0.0,0.0,216.65,2.0,0.0,59.248,0.0
2033,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,25.0,501.22,3.0,1.0,0.0,1.0,0.0,134.3,20.0,0.0,36.729,2.0
2034,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,25.0,501.22,3.0,1.0,0.0,1.0,0.0,157.4,25.0,0.0,43.045,2.0
2045,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,30.0,501.22,1.5,1.0,0.0,1.0,0.0,154.7,2.0,0.0,42.306,2.0
2046,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,30.0,501.22,1.5,1.0,0.0,1.0,0.0,107.25,2.0,0.0,29.331,2.0
2053,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,100.0,36.0,501.22,4.0,0.0,0.0,0.0,0.0,252.9,3.0,0.0,69.162,0.0
2058,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,46.0,501.22,12.0,2.5,0.0,2.5,0.0,158.75,5.0,0.0,43.415,5.0
2070,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,57.0,501.22,6.0,2.5,0.0,2.5,0.0,746.9,6.0,0.0,204.259,5.0
2079,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,62.0,501.22,1.5,0.5,0.0,0.5,0.0,54.75,2.0,0.0,14.974,1.0
2087,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,67.0,501.22,1.5,1.0,0.0,1.0,0.0,150.5,4.0,0.0,41.158,2.0
2089,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,67.0,501.22,3.0,5.0,0.0,5.0,0.0,351.05,25.0,0.0,96.003,10.0
2090,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,67.0,501.22,1.0,1.0,0.0,1.0,0.0,95.0,3.0,0.0,25.98,2.0
2091,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,67.0,501.22,5.0,19.0,0.0,19.0,0.0,1020.0,0.5,0.0,278.945,38.0
2103,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,77.0,501.22,1.5,1.0,0.0,1.0,0.0,251.3,5.0,0.0,68.725,2.0
2104,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,77.0,501.22,1.5,1.0,0.0,1.0,0.0,225.35,53.0,0.0,61.628,2.0
2113,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,87.0,501.22,3.0,0.5,0.0,0.5,0.0,78.1,15.0,0.0,21.358,1.0
2133,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,103.0,501.22,8.0,4.0,0.0,4.0,0.0,264.8,2.0,0.0,72.417,8.0
2162,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,4.0,501.17,10.0,5.0,0.0,5.0,0.0,660.3,0.17,0.0,156.894,10.0
2185,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,100.0,52.0,501.17,2.0,4.0,0.0,4.0,0.0,165.8,0.12,0.0,39.396,8.0
2198,1.0,2.0,2.0,15.0,9.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,60.0,92.0,501.17,3.0,8.0,0.0,2.0,0.0,97.65,0.1,0.0,23.203,10.0
2204,1.0,2.0,2.0,15.0,9.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,100.0,100.0,501.17,2.0,4.0,0.0,4.0,0.0,184.75,0.11,0.0,43.899,8.0
2214,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,100.0,124.0,501.17,2.0,0.0,0.0,0.0,0.0,199.8,0.12,0.0,47.475,0.0
2232,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,156.0,501.17,15.0,5.0,0.0,5.0,0.0,296.85,0.13,0.0,70.534,10.0
2242,1.0,2.0,2.0,20.0,10.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,41.0,330.88,15.0,5.0,0.0,5.0,0.0,1078.9,0.5,0.0,120.923,10.0
2247,1.0,2.0,2.0,20.0,10.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,33.0,55.0,330.88,12.0,10.0,0.0,10.0,0.0,264.59,0.5,0.0,29.656,20.0
2269,1.0,2.0,2.0,20.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,95.0,330.88,15.0,5.0,0.0,5.0,0.0,1009.35,0.5,0.0,113.129,10.0
2330,1.0,2.0,2.0,25.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,64.0,495.2,1.8,6.0,0.0,6.0,0.0,613.2,0.1,0.0,162.198,12.0
2349,1.0,2.0,2.0,25.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,97.0,495.2,4.0,5.0,0.0,5.0,0.0,282.1,0.02,0.0,74.618,10.0
2363,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,4.0,457.37,1.56,0.8,0.0,0.82,0.0,150.65,2.0,0.0,36.809,1.62
2365,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,4.0,457.37,1.76,1.15,0.0,1.1,0.0,85.2,3.0,0.0,20.818,2.25
2367,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,4.0,457.37,1.65,1.46,0.0,1.42,0.0,116.05,3.0,0.0,28.354,2.88
2377,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,50.0,12.0,457.37,7.5,0.0,0.0,0.0,0.0,763.03,1.0,0.0,186.434,0.0
2386,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,20.0,457.37,4.13,2.19,0.0,2.84,0.0,341.95,5.0,0.0,83.551,5.029999999999999
2387,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,20.0,457.37,3.65,3.22,0.0,3.76,0.0,183.63,6.0,0.0,44.868,6.98
2390,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,20.0,457.37,12.33,8.57,0.0,8.68,0.0,348.05,0.5,0.0,85.04,17.25
2395,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,24.0,457.37,3.66,2.22,0.0,1.84,0.0,95.9,3.0,0.0,23.431,4.0600000000000005
2396,1.0,2.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,24.0,457.37,5.84,2.76,0.0,2.56,0.0,276.8,0.25,0.0,67.631,5.32
2399,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,28.0,457.37,2.84,1.08,0.0,1.28,0.0,161.15,5.0,0.0,39.374,2.3600000000000003
2406,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,28.0,457.37,4.98,4.23,0.0,4.29,0.0,386.43,0.25,0.0,94.418,8.52
2410,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,32.0,457.37,22.63,3.7,0.0,4.76,0.0,499.23,0.5,0.0,121.979,8.46
2413,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,32.0,457.37,16.79,9.96,0.0,9.18,0.0,727.63,0.5,0.0,177.786,19.14
2415,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,32.0,457.37,6.36,1.74,0.0,0.92,0.0,156.5,3.0,0.0,38.239,2.66
2416,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,32.0,457.37,17.89,5.7,0.0,5.76,0.0,1092.6,1.25,0.0,266.959,11.46
2418,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,32.0,457.37,14.25,6.74,0.0,6.66,0.0,518.7,0.5,0.0,126.736,13.4
2421,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,36.0,457.37,2.7,0.0,0.0,0.0,0.0,238.8,3.0,0.0,58.347,0.0
2422,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,40.0,457.37,4.0,0.0,0.0,0.0,0.0,192.45,2.0,0.0,47.022,0.0
2425,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,40.0,457.37,6.5,13.0,0.0,15.0,0.0,383.5,0.5,0.0,93.703,28.0
2429,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,44.0,457.37,7.7,7.84,0.0,7.36,0.0,583.58,0.5,0.0,142.588,15.2
2438,1.0,2.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,57.0,457.37,5.25,2.65,0.0,2.76,0.0,292.05,0.25,0.0,71.357,5.41
2442,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,57.0,457.37,7.48,2.87,0.0,0.0,0.0,332.6,4.0,0.0,81.265,2.87
2443,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,61.0,457.37,4.88,1.16,0.0,1.84,0.0,202.73,6.0,0.0,49.535,3.0
2446,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,61.0,457.37,7.8,9.1,0.0,8.6,0.0,500.65,0.5,0.0,122.326,17.7
2450,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,61.0,457.37,11.95,12.5,0.0,12.36,0.0,892.25,1.0,0.0,218.007,24.86
2452,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,61.0,457.37,2.95,2.5,0.0,2.5,0.0,211.95,7.0,0.0,51.788,5.0
2457,1.0,2.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,69.0,457.37,9.67,4.45,0.0,4.57,0.0,400.95,0.25,0.0,97.967,9.02
2461,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,69.0,457.37,1.56,0.0,0.0,0.0,0.0,73.4,1.0,0.0,17.935,0.0
2464,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,73.0,457.37,2.1,0.0,0.0,0.0,0.0,97.7,2.0,0.0,23.871,0.0
2465,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,73.0,457.37,1.25,0.0,0.0,0.0,0.0,58.65,1.0,0.0,14.331,0.0
2471,1.0,2.0,3.0,4.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,73.0,457.37,17.52,7.04,0.0,6.2,0.0,998.2,1.0,0.0,243.895,13.24
