,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,Common way of prevention,Seed / Seedling Type,Was crop damaged?,Prevension/precaution measure taken?,Type of measure,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used  in  Meher (main) season?,What was the previous state of the field?,LANDUSE,Household Id,Sampling Weight,Quantity of indigenous seeds used,Quantity of chemical fertilizer used,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
945,1.0,1.0,4.0,4.0,4.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,265.29,5.26,0.0,216.42000000000002,30.520000000000003,0.0
948,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,19.0,265.29,2.46,0.0,256.32,36.14,0.0
953,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,27.0,265.29,6.16,0.0,259.98,36.66,0.0
960,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,51.0,265.29,6.65,15.529,1021.24,144.0,15.529
984,1.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,163.0,265.29,3.2,0.0,178.29999999999998,25.14,0.0
988,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,187.0,265.29,8.2,0.0,370.01,52.17,0.0
991,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,195.0,265.29,4.34,0.0,344.72,48.61,0.0
992,1.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,195.0,265.29,4.11,0.0,223.73000000000002,31.55,0.0
998,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,211.0,265.29,2.0,0.0,267.57,37.730000000000004,0.0
999,1.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,211.0,265.29,2.3,0.0,453.63,63.959999999999994,0.0
1003,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,235.0,265.29,3.79,0.0,529.95,74.72,0.0
1253,1.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,65.0,272.26,3.8,0.0,417.4,61.36000000000001,0.0
1260,1.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,77.0,272.26,1.85,0.0,253.35,37.24,0.0
1302,1.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,187.0,272.26,3.5,0.0,767.1500000000001,112.77,0.0
1902,1.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,18.0,388.68,1.5,0.0,88.99000000000001,3.38,0.0
1910,1.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,36.0,388.68,2.0,0.0,169.72,6.45,0.0
1960,1.0,2.0,1.0,2.0,7.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,168.0,388.68,0.35,0.0,42.95,1.63,0.0
1988,1.0,2.0,1.0,7.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,32.0,388.68,5.3,3.215,162.85000000000002,12.049999999999999,3.215
1990,1.0,2.0,1.0,7.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,32.0,388.68,5.53,4.162,131.98,9.77,4.162
2016,1.0,2.0,1.0,7.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,77.0,388.68,8.48,5.808,386.01000000000005,28.57,5.808
2035,1.0,2.0,1.0,7.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,117.0,388.68,3.71,2.174,200.73000000000002,14.85,2.174
2132,1.0,2.0,1.0,16.0,3.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,29.0,357.87,2.24,2.174,249.17000000000002,18.94,2.174
2151,1.0,2.0,1.0,16.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,61.0,357.87,1.12,2.174,147.29000000000002,11.19,2.174
2152,1.0,2.0,1.0,16.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,61.0,357.87,0.56,1.087,67.75,5.1499999999999995,1.087
2169,1.0,2.0,1.0,16.0,3.0,2.0,1.0,1.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,77.0,357.87,0.56,1.087,176.85,13.44,1.087
2171,1.0,2.0,1.0,16.0,3.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,77.0,357.87,1.12,1.631,216.0,16.42,1.631
2190,1.0,2.0,1.0,16.0,3.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,82.0,357.87,1.12,0.0,221.97000000000003,16.869999999999997,0.0
2201,1.0,2.0,1.0,16.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,97.0,357.87,1.12,2.213,80.57,6.12,2.213
2232,1.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,7.0,357.87,6.6,6.445,932.2900000000001,185.53,6.445
2235,1.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,31.0,357.87,22.0,3.261,1397.58,278.12,3.261
2238,1.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,31.0,357.87,11.0,3.222,782.09,155.64,3.222
2240,1.0,2.0,2.0,4.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,31.0,357.87,11.0,3.867,772.64,153.76000000000002,3.867
2242,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,43.0,357.87,13.2,32.223,556.77,110.80000000000001,32.223
2243,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,43.0,357.87,13.2,32.223,633.8399999999999,126.13000000000001,32.223
2244,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,43.0,357.87,23.32,32.611,1184.95,235.80999999999997,32.611
2251,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,69.0,357.87,8.8,0.0,502.63,100.02,0.0
2252,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,69.0,357.87,8.8,0.0,395.68,78.74,0.0
2257,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,81.0,357.87,8.8,12.889,490.98,97.71,12.889
2258,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,81.0,357.87,8.8,12.889,782.09,155.64,12.889
2261,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,105.0,357.87,7.67,2.578,693.41,137.98999999999998,2.578
2262,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,105.0,357.87,5.72,2.609,414.98,82.58,2.609
2263,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,105.0,357.87,5.72,2.609,397.04999999999995,79.01,2.609
2272,1.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,117.0,357.87,11.44,10.311,2088.51,415.61,10.311
2273,1.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,117.0,357.87,11.44,10.311,1109.6200000000001,220.81,10.311
2274,1.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,117.0,357.87,11.44,10.311,454.94,90.53,10.311
2282,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,141.0,357.87,4.4,5.218,742.2199999999999,147.70000000000002,5.218
2289,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,153.0,357.87,28.6,13.044,714.61,142.20999999999998,13.044
2294,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,177.0,357.87,52.8,32.611,1396.1100000000001,277.83000000000004,32.611
2301,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,189.0,357.87,13.2,12.245,1769.6100000000001,352.15000000000003,12.245
2304,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,213.0,357.87,8.8,19.334,774.85,154.20000000000002,19.334
2308,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,225.0,357.87,17.6,19.567,1483.22,295.16,19.567
2311,1.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,225.0,357.87,10.65,25.778,2145.34,426.91999999999996,25.778
2313,1.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,249.0,357.87,17.6,11.6,1834.24,365.01,11.6
2326,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,297.0,357.87,4.4,9.783,1222.57,243.29000000000002,9.783
2327,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,321.0,357.87,17.6,19.334,490.29,97.57000000000001,19.334
2331,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,321.0,357.87,17.6,19.567,524.07,104.28999999999999,19.567
2334,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,333.0,357.87,17.6,0.0,1012.4,201.47,0.0
2341,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,357.0,357.87,35.2,0.0,2448.32,487.22,0.0
2346,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,357.87,5.0,3.494,186.53,48.5,3.494
2347,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,357.87,12.64,9.201,612.26,159.19,9.201
2348,1.0,2.0,2.0,8.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,357.87,8.0,15.335,296.61,77.12,15.335
2358,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,20.0,357.87,1.3,1.165,110.44,28.71,1.165
2359,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,20.0,357.87,1.95,1.553,196.48,51.09,1.553
2361,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,20.0,357.87,1.0,3.106,110.69000000000001,28.78,3.106
2368,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,32.0,357.87,3.5,3.882,202.44000000000003,52.629999999999995,3.882
2370,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,32.0,357.87,2.15,3.494,264.0,68.64,3.494
2373,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,32.0,357.87,12.0,15.917,596.66,155.13,15.917
2378,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,38.0,357.87,1.75,2.912,147.34,38.31,2.912
2380,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,38.0,357.87,2.0,3.688,182.29,47.4,3.688
2389,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,56.0,357.87,5.54,8.51,449.57,116.89,8.51
2391,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,56.0,357.87,1.36,1.972,109.5,28.470000000000002,1.972
2396,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,56.0,357.87,2.6,4.387,246.98999999999998,64.22,4.387
2411,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,74.0,357.87,1.95,1.77,265.55,69.04,1.77
2416,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,104.0,357.87,0.325,0.295,49.43000000000001,12.85,0.295
2417,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,104.0,357.87,1.3,1.18,102.4,26.619999999999997,1.18
2418,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,104.0,357.87,0.975,1.77,87.06,22.64,1.77
2420,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,104.0,357.87,0.65,1.18,52.6,13.68,1.18
2422,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,104.0,357.87,0.25,0.295,36.58,9.51,0.295
2424,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,104.0,357.87,0.68,1.18,53.04,13.79,1.18
2427,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,9.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,104.0,357.87,7.75,12.229,531.87,138.29,12.229
2433,1.0,2.0,2.0,8.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,110.0,357.87,0.65,1.18,80.88,21.029999999999998,1.18
2435,1.0,2.0,2.0,8.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,110.0,357.87,1.95,2.912,348.40000000000003,90.58,2.912
2437,1.0,2.0,2.0,8.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,110.0,357.87,1.3,3.238,128.74,33.47,3.238
2444,1.0,2.0,2.0,8.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,122.0,357.87,8.75,11.647,591.88,153.89,11.647
2466,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,7.0,357.87,6.0,0.0,472.4,78.42,0.0
2498,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,45.0,357.87,10.0,5.435,702.65,116.64000000000001,5.435
2501,1.0,2.0,2.0,13.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,45.0,357.87,20.0,19.411,979.1800000000001,162.54,19.411
2508,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,63.0,357.87,2.0,3.106,396.06,65.75,3.106
