,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,How were seeds planted/ sowed?,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of BLENDED fertilizer used,Area in Square meter,Respondent local area,Production Of Condition in Kg,Fertilizer Quantity
2310,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,1.0,0.0,4.0,457.37,1.76,1.15,0.0,1.1,0.0,85.2,3.0,20.818,2.25
2312,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,1.0,0.0,4.0,457.37,1.65,1.46,0.0,1.42,0.0,116.05,3.0,28.354,2.88
2322,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,50.0,2.0,0.0,12.0,457.37,7.5,0.0,0.0,0.0,0.0,763.03,1.0,186.434,0.0
2331,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,1.0,0.0,20.0,457.37,4.13,2.19,0.0,2.84,0.0,341.95,5.0,83.551,5.029999999999999
2332,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,10.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,1.0,0.0,20.0,457.37,3.65,3.22,0.0,3.76,0.0,183.63,6.0,44.868,6.98
2335,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,20.0,457.37,12.33,8.57,0.0,8.68,0.0,348.05,0.5,85.04,17.25
2340,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,24.0,457.37,3.66,2.22,0.0,1.84,0.0,95.9,3.0,23.431,4.0600000000000005
2341,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,24.0,457.37,5.84,2.76,0.0,2.56,0.0,276.8,0.25,67.631,5.32
2344,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,1.0,0.0,28.0,457.37,2.84,1.08,0.0,1.28,0.0,161.15,5.0,39.374,2.3600000000000003
2351,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,28.0,457.37,4.98,4.23,0.0,4.29,0.0,386.43,0.25,94.418,8.52
2355,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,32.0,457.37,22.63,3.7,0.0,4.76,0.0,499.23,0.5,121.979,8.46
2358,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,10.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,32.0,457.37,16.79,9.96,0.0,9.18,0.0,727.63,0.5,177.786,19.14
2360,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,32.0,457.37,6.36,1.74,0.0,0.92,0.0,156.5,3.0,38.239,2.66
2361,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,32.0,457.37,17.89,5.7,0.0,5.76,0.0,1092.6,1.25,266.959,11.46
2363,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,32.0,457.37,14.25,6.74,0.0,6.66,0.0,518.7,0.5,126.736,13.4
2366,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,1.0,0.0,36.0,457.37,2.7,0.0,0.0,0.0,0.0,238.8,3.0,58.347,0.0
2367,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,1.0,0.0,40.0,457.37,4.0,0.0,0.0,0.0,0.0,192.45,2.0,47.022,0.0
2370,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,40.0,457.37,6.5,13.0,0.0,15.0,0.0,383.5,0.5,93.703,28.0
2374,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,44.0,457.37,7.7,7.84,0.0,7.36,0.0,583.58,0.5,142.588,15.2
2382,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,57.0,457.37,5.25,2.65,0.0,2.76,0.0,292.05,0.25,71.357,5.41
2386,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,0.0,57.0,457.37,7.48,2.87,0.0,0.0,0.0,332.6,4.0,81.265,2.87
2387,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,1.0,0.0,61.0,457.37,4.88,1.16,0.0,1.84,0.0,202.73,6.0,49.535,3.0
