,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,Common way of prevention,Seed / Seedling Type,Was crop damaged?,Prevention/precaution measure taken?,Type of measure,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used  in  Meher (main) season?,What was the previous state of the field?,APERCENT,LANDUSE,Household Id,Sampling Weight,Quantity of indigenous seeds used,Quantity of UREA chemical fertilizer used,Quantity of DAP chemical fertilizer used,Quantity of Both UREA and DAP chemical fertilizer used,CERROR,AREB,Enumerator Area,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
428,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,71.0,277.53,0.65,0.0,0.0,0.0,1.11,11412.0,114.12,114.12,11.412,0.0
480,50.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,15.0,300.55,2.1,0.0,0.0,0.0,0.75,6692.0,66.92,66.92,9.235,0.0
567,50.0,1.0,1.0,3.0,7.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,1.0,188.0,348.38,24.4,0.0,0.0,0.0,1.15,103375.0,1033.75,1033.75,200.548,0.0
569,50.0,1.0,1.0,3.0,7.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,1.0,188.0,348.38,6.1,0.0,0.0,0.0,1.04,23171.0,231.71,231.71,44.952,0.0
636,50.0,1.0,1.0,3.0,11.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,207.0,342.35,10.8,0.0,0.0,0.0,2.08,60813.0,608.13,608.13,60.813,0.0
683,50.0,1.0,1.0,3.0,17.0,3.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,4.0,311.02,1.2,0.0,0.0,0.0,4.04,20520.0,205.2,205.2,12.928,0.0
689,50.0,1.0,1.0,3.0,17.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,34.0,311.02,1.0,0.0,0.0,0.0,2.45,9142.0,91.42,91.42,5.759,0.0
767,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,100.0,1.0,27.0,309.92,4.1,0.0,0.0,0.0,0.92,44278.0,442.78,442.78,55.79,0.0
780,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,100.0,1.0,88.0,309.92,15.3,0.0,0.0,0.0,3.36,276878.0,2768.78,2768.78,348.866,0.0
801,50.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,194.0,309.92,3.2,0.0,0.0,0.0,4.67,48470.0,484.7,484.7,61.072,0.0
802,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,100.0,1.0,208.0,309.92,2.1,0.0,0.0,0.0,3.89,23461.0,234.61,234.61,29.561,0.0
809,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,215.0,309.92,3.8,0.0,0.0,0.0,0.74,56139.0,561.39,561.39,70.735,0.0
855,50.0,1.0,1.0,4.0,8.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,178.0,373.87,0.54,0.0,0.0,0.0,0.27,10689.0,106.89,106.89,6.948,0.0
1118,50.0,1.0,1.0,5.0,11.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,212.0,404.23,0.12,0.0,0.0,0.0,1.71,9329.0,93.29,93.29,15.393,0.0
1405,50.0,1.0,1.0,6.0,10.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,63.0,324.3,3.48,0.0,0.0,0.0,2.11,189944.0,1899.44,1899.44,56.983,0.0
1524,50.0,1.0,1.0,6.0,16.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,103.0,313.43,0.55,0.0,0.0,0.0,1.08,10495.0,104.95,104.95,3.149,0.0
1706,50.0,1.0,2.0,1.0,7.0,5.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,50.0,391.25,9.28,0.0,0.0,0.0,3.03,41086.0,410.86,410.86,34.512,0.0
1760,50.0,1.0,2.0,1.0,7.0,5.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,128.0,391.25,2.32,0.0,2.22,0.0,2.0,5847.0,58.47,58.47,4.911,2.22
1774,50.0,1.0,2.0,1.0,7.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,155.0,391.25,2.23,0.0,0.0,0.0,0.28,11803.0,118.03,118.03,9.915,0.0
1943,50.0,1.0,2.0,1.0,16.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,85.0,431.03,2.88,3.6,0.0,0.0,1.51,22765.0,227.65,227.65,28.001,3.6
1946,50.0,1.0,2.0,1.0,16.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,95.0,431.03,3.6,0.0,0.0,0.0,1.23,35918.0,358.81,359.18,44.179,0.0
1963,50.0,1.0,2.0,1.0,16.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,188.0,431.03,2.45,2.7,0.0,0.0,1.25,30501.0,305.01,305.01,37.516,2.7
1964,50.0,1.0,2.0,1.0,16.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,188.0,431.03,2.25,2.25,0.0,0.0,0.39,19853.0,198.53,198.53,24.419,2.25
1965,50.0,1.0,2.0,1.0,16.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,188.0,431.03,0.75,0.0,0.0,0.0,0.35,7536.0,75.36,75.36,9.269,0.0
2027,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,26.0,350.88,20.35,0.0,0.0,4.01,3.38,51186.0,511.86,511.86,99.301,4.01
2045,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,50.0,1.0,62.0,350.88,3.25,0.0,0.0,20.0,1.02,20671.0,206.71,206.71,40.102,20.0
2056,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,50.0,1.0,80.0,350.88,13.12,0.0,0.0,15.0,1.8,48158.0,481.58,481.58,93.427,15.0
2069,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,50.0,1.0,111.0,350.88,3.75,0.0,0.0,15.0,2.07,12637.0,126.37,126.37,24.516,15.0
2074,50.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,1.0,130.0,350.88,4.75,0.0,0.0,18.0,2.45,28669.0,286.69,286.69,55.618,18.0
2102,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,11.0,370.79,6.6,0.0,0.0,0.0,0.86,23789.0,237.89,237.89,28.071,0.0
2103,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,11.0,370.79,3.85,0.0,0.0,0.0,0.72,16680.0,166.8,166.8,19.682,0.0
2115,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,5.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,15.0,370.79,4.15,0.0,0.0,0.0,0.53,38131.0,382.48,381.31,44.995,0.0
2116,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,15.0,370.79,10.95,0.0,0.0,0.0,0.51,68137.0,681.37,681.37,80.402,0.0
2121,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,24.0,370.79,7.1,0.0,0.0,0.0,0.16,30398.0,303.98,303.98,35.87,0.0
2124,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,24.0,370.79,1.65,0.0,0.0,0.0,0.69,6136.0,61.36,61.36,7.24,0.0
2125,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,24.0,370.79,29.7,0.0,0.0,0.0,1.08,126917.0,1269.17,1269.17,149.762,0.0
2136,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,38.0,370.79,3.85,0.0,0.0,0.0,0.49,24124.0,241.24,241.24,28.466,0.0
2139,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,38.0,370.79,3.95,0.0,0.0,0.0,3.99,15899.0,158.99,158.99,18.761,0.0
2145,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,42.0,370.79,10.95,0.0,0.0,0.0,2.05,54075.0,540.75,540.75,63.809,0.0
2147,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,80.0,1.0,42.0,370.79,9.9,0.0,0.0,0.0,0.8,21057.0,210.57,210.57,24.847,0.0
2148,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,67.0,1.0,42.0,370.79,3.3,0.0,0.0,0.0,0.36,12541.0,125.41,125.41,14.798,0.0
2154,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,40.0,1.0,50.0,370.79,4.95,0.0,0.0,0.0,1.28,11243.0,112.43,112.43,13.267,0.0
2155,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,50.0,370.79,7.15,0.0,0.0,0.0,0.49,39963.0,399.63,399.63,47.156,0.0
2156,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,70.0,1.0,50.0,370.79,7.5,0.0,0.0,0.0,2.11,18698.0,186.98,186.98,22.064,0.0
2165,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,54.0,370.79,2.75,0.0,0.0,0.0,0.72,9101.0,91.01,91.01,10.739,0.0
2178,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,68.0,370.79,2.75,0.0,0.0,0.0,0.92,11509.0,115.09,115.09,13.581,0.0
2179,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,68.0,370.79,1.65,0.0,0.0,0.0,0.85,11219.0,112.19,112.19,13.238,0.0
2180,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,68.0,370.79,5.4,0.0,0.0,0.0,0.73,28406.0,284.06,284.06,33.519,0.0
2184,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,25.0,1.0,76.0,370.79,10.05,0.0,0.0,0.0,1.25,28904.0,289.04,289.04,34.107,0.0
2196,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,60.0,1.0,97.0,370.79,18.15,0.0,0.0,0.0,0.86,52704.0,527.04,527.04,62.191,0.0
2197,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,90.0,1.0,97.0,370.79,9.9,0.0,0.0,0.0,0.72,36115.0,361.15,361.15,42.616,0.0
2202,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,97.0,370.79,4.75,0.0,0.0,0.0,0.4,32329.0,323.29,323.29,38.148,0.0
2209,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,105.0,370.79,22.0,0.0,0.0,0.0,4.65,40892.0,408.92,408.92,48.253,0.0
2226,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,130.0,370.79,3.65,0.0,0.0,0.0,1.88,28564.0,285.64,285.64,33.706,0.0
2228,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,130.0,370.79,0.55,0.0,0.0,0.0,1.06,9034.0,90.34,90.34,10.66,0.0
2229,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,130.0,370.79,5.5,0.0,0.0,0.0,0.59,23293.0,232.93,232.93,27.486,0.0
2244,50.0,1.0,2.0,2.0,22.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,4.0,336.89,8.21,0.0,0.0,0.0,1.75,70284.0,702.84,702.84,174.304,0.0
2245,50.0,1.0,2.0,2.0,22.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,4.0,336.89,2.95,0.0,0.0,0.0,4.67,21607.0,216.06,216.07,53.585,0.0
2246,50.0,1.0,2.0,2.0,22.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,4.0,336.89,10.23,0.0,0.0,0.0,2.06,92465.0,924.65,924.65,229.313,0.0
2250,50.0,1.0,2.0,2.0,22.0,4.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,1.0,12.0,336.89,5.67,0.0,0.0,0.0,0.83,24748.0,247.48,247.48,61.375,0.0
2254,50.0,1.0,2.0,2.0,22.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,12.0,336.89,8.05,0.0,0.0,0.0,0.85,32984.0,329.84,329.84,81.8,0.0
2255,50.0,1.0,2.0,2.0,22.0,4.0,1.0,1.0,1.0,9.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,1.0,12.0,336.89,6.115,0.0,0.0,0.0,0.98,32381.0,323.81,323.81,80.305,0.0
2257,50.0,1.0,2.0,2.0,22.0,4.0,1.0,1.0,1.0,10.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,1.0,12.0,336.89,3.64,0.0,0.0,0.0,1.05,18290.0,182.9,182.9,45.359,0.0
2259,50.0,1.0,2.0,2.0,22.0,4.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,12.0,336.89,8.78,0.0,0.0,0.0,0.98,52575.0,525.75,525.75,130.386,0.0
2262,50.0,1.0,2.0,2.0,22.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,24.0,336.89,6.24,0.0,0.0,0.0,2.5,19662.0,196.62,196.62,48.762,0.0
