,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Part,Field Type,CROP,Owner type,Extension,Irrigation Used,SERRO,MERRO,Seed Type,Any Damage?,Any Measure to Prevent Damage,Type of Damage Prevention,Fertilizer Used,How many times do you produce crops,What was the field used for?,Percent of Field in Use,Land Use Type,Household Id,FWEIGHT,Weight of Non-improved Seed,Closure Error,Enumerator Area (sq. m.),Computer Area (sq. m.),Area in Hectar,Area in Square meter,Sampling Weight,Production Of Condition in Kg,Production
343,1.0,1.0,2.0,3.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,182.0,255.06,2.04,1.4345899350816191,1524.5300471823327,1514.0311364418371,0.017959,179.59,255.06,168.81,16.881
399,1.0,1.0,2.0,8.0,4.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,3.0,255.08,2.36,0.84,206.3,206.3,0.02063,206.3,255.08,193.92000000000002,19.392
404,1.0,1.0,2.0,8.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,18.0,255.08,8.85,3.31,349.57,349.57,0.034957,349.57,255.08,328.6,32.86
414,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,45.0,255.08,1.14,1.89,91.43,91.43,0.009143,91.43,255.08,85.94000000000001,8.594
416,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,45.0,255.08,3.42,0.95,285.82,285.82,0.028582,285.82,255.08,268.67,26.867
450,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,135.0,255.08,5.9,1.11,180.37,180.37,0.018037,180.37,255.08,169.55,16.955
451,1.0,1.0,2.0,8.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,135.0,255.08,3.96,0.65,390.32,390.32,0.039032,390.32,255.08,366.9,36.69
453,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,1.0,140.0,255.08,1.77,0.74,103.54,103.54,0.010354,103.54,255.08,97.33000000000001,9.733
464,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,14.0,254.56,2.49,2.18,104.49,104.49,0.010449,104.49,254.56,80.46,8.046
490,1.0,1.0,2.0,12.0,5.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,79.0,254.56,2.36,0.77,187.55,187.55,0.018755,187.55,254.56,144.41,14.441
498,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,104.0,254.56,17.16,3.73,3391.72,3391.72,0.339172,3391.72,254.56,2611.62,261.162
524,1.0,1.0,2.0,19.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,20.0,254.71,3.24,0.94,356.0,356.0,0.0356,356.0,254.71,932.7199999999999,93.272
689,1.0,1.0,3.0,7.0,5.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,90.0,255.03,4.0,0.76,250.33,250.33,0.025033,250.33,255.03,197.76,19.776
743,1.0,1.0,3.0,10.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,57.0,254.27,1.06,0.77,238.59,238.59,0.023859,238.59,254.27,188.49,18.849
762,1.0,1.0,3.0,10.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,1.0,106.0,254.27,7.75,3.51,354.24,354.24,0.035424,354.24,254.27,279.85,27.985
770,1.0,1.0,3.0,10.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,124.0,254.27,14.0,2.81,701.77,701.77,0.070177,701.77,254.27,554.4,55.44
836,1.0,1.0,3.0,13.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,133.0,281.34,1.98,1.62,217.65,217.65,0.021765,217.65,281.34,171.94,17.194
898,1.0,1.0,3.0,16.0,6.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,173.0,270.47,0.25,1.4,94.91,94.91,0.009491,94.91,270.47,74.98,7.498
915,1.0,1.0,3.0,18.0,6.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,28.0,291.85,0.66,3.0,101.92,101.92,0.010192,101.92,291.85,80.52,8.052
916,1.0,1.0,3.0,18.0,6.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,100.0,1.0,28.0,291.85,0.25,2.64,104.58,104.58,0.010458,104.58,291.85,82.62,8.262
979,1.0,1.0,4.0,3.0,9.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,18.0,254.34,2.0,4.55,252.98,252.98,0.025298,252.98,254.34,68.30000000000001,6.83
991,1.0,1.0,4.0,3.0,9.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,54.0,254.34,3.6,3.29,145.16,1514.0311364418371,0.014516,145.16,254.34,39.190000000000005,3.919
1010,1.0,1.0,4.0,3.0,9.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,96.0,254.34,1.25,1.61,121.45,121.45,0.012145,121.45,254.34,32.79,3.279
1124,1.0,1.0,4.0,10.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,51.0,314.78,1.72,2.84,283.4,283.4,0.02834,283.4,314.78,45.34,4.534
1149,1.0,1.0,4.0,10.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,87.0,314.78,2.56,2.03,219.05,219.05,0.021905,219.05,314.78,35.05,3.505
1152,1.0,1.0,4.0,10.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,87.0,314.78,1.28,0.92,97.47,97.47,0.009747,97.47,314.78,15.6,1.56
1270,1.0,1.0,5.0,8.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,24.0,254.95,1.71,0.77,98.73,98.73,0.009873,98.73,254.95,93.78999999999999,9.379
1864,1.0,1.0,6.0,14.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,147.0,254.84,0.6,1.78,441.26,441.26,0.044126,441.26,254.84,388.31,38.831
1932,1.0,1.0,6.0,16.0,8.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,109.0,254.95,43.0,1.4345899350816191,1524.5300471823327,1514.0311364418371,0.060189,601.89,254.95,529.66,52.966
1933,1.0,1.0,6.0,16.0,8.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,109.0,254.95,25.8,1.4345899350816191,1524.5300471823327,1514.0311364418371,0.060189,601.89,254.95,529.66,52.966
1941,1.0,1.0,6.0,16.0,8.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,119.0,254.95,8.6,1.4345899350816191,1524.5300471823327,1514.0311364418371,0.060189,601.89,254.95,529.66,52.966
1948,1.0,1.0,6.0,16.0,8.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,124.0,254.95,1.29,1.4345899350816191,1524.5300471823327,1514.0311364418371,0.060189,601.89,254.95,529.66,52.966
1958,1.0,1.0,6.0,16.0,8.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,139.0,254.95,12.9,1.4345899350816191,1524.5300471823327,1514.0311364418371,0.060189,601.89,254.95,529.66,52.966
1972,1.0,1.0,6.0,19.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,14.0,255.45,1.25,1.58,502.87,502.87,0.050287,502.87,255.45,432.47,43.247
1978,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,32.0,255.45,2.0,3.96,737.24,737.24,0.073724,737.24,255.45,634.03,63.403
1983,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,38.0,255.45,1.25,4.3,340.13,340.13,0.034013,340.13,255.45,292.51,29.251
1987,1.0,1.0,6.0,19.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,38.0,255.45,3.0,1.4345899350816191,1524.5300471823327,1514.0311364418371,0.061336,613.36,255.45,527.49,52.749
1990,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,50.0,255.45,1.25,2.97,294.45,294.45,0.029445,294.45,255.45,253.23000000000002,25.323
1996,1.0,1.0,6.0,19.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,56.0,255.45,3.5,3.97,1121.5,1121.5,0.11215,1121.5,255.45,964.49,96.449
1999,1.0,1.0,6.0,19.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,68.0,255.45,1.25,3.4,283.37,283.37,0.028337,283.37,255.45,243.7,24.37
2002,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,74.0,255.45,1.0,1.82,199.2,199.2,0.01992,199.2,255.45,171.31,17.131
2006,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,86.0,255.45,2.5,1.32,850.35,850.35,0.085035,850.35,255.45,731.3,73.13
2013,1.0,1.0,6.0,19.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,92.0,255.45,1.25,2.79,597.22,597.22,0.059722,597.22,255.45,513.61,51.361
2018,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,104.0,255.45,1.5,1.83,610.09,610.09,0.061009,610.09,255.45,524.6800000000001,52.468
2024,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,110.0,255.45,1.25,3.76,506.04,506.04,0.050604,506.04,255.45,435.18999999999994,43.519
2027,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,122.0,255.45,13.206250477473482,3.2,793.39,793.39,0.079339,793.39,255.45,682.3199999999999,68.232
2036,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,140.0,255.45,2.5,0.4,888.62,888.62,0.088862,888.62,255.45,764.21,76.421
2046,1.0,1.0,6.0,19.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,164.0,255.45,2.427,2.57,862.57,862.57,0.086257,862.57,255.45,741.81,74.181
2067,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,27.0,339.07,8.23,0.86,863.15,863.15,0.086315,863.15,339.07,811.36,81.136
2256,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,3.0,335.24,3.24,1.4345899350816191,1524.5300471823327,1514.0311364418371,0.038622,386.22,335.24,432.57000000000005,43.257
2258,1.0,2.0,1.0,11.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,13.0,335.24,3.3,0.55,262.88,262.88,0.026288,262.88,335.24,294.43,29.443
2261,1.0,2.0,1.0,11.0,3.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,13.0,335.24,1.65,1.04,169.02,169.02,0.016902,169.02,335.24,189.3,18.93
2264,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,18.0,335.24,0.91,0.47,101.17,101.17,0.010117,101.17,335.24,113.31,11.331
2265,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,18.0,335.24,0.71,0.76,92.82,92.82,0.009282,92.82,335.24,103.96000000000001,10.396
2273,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,29.0,335.24,1.8,0.36,97.62,97.62,0.009762,97.62,335.24,109.33,10.933
2279,1.0,2.0,1.0,11.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,100.0,1.0,45.0,335.24,4.99,1.15,320.64,320.64,0.032064,320.64,335.24,359.12,35.912
2280,1.0,2.0,1.0,11.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,100.0,1.0,45.0,335.24,38.88,0.3,2559.07,2559.07,0.255907,2559.07,335.24,2866.16,286.616
2281,1.0,2.0,1.0,11.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,100.0,1.0,45.0,335.24,33.89,0.41,2132.53,2132.53,0.213253,2132.53,335.24,2388.43,238.843
2286,1.0,2.0,1.0,11.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,50.0,335.24,5.15,0.48,345.58,345.58,0.034558,345.58,335.24,387.04999999999995,38.705
2291,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,61.0,335.24,1.62,0.31,192.65,192.65,0.019265,192.65,335.24,215.77,21.577
2292,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,61.0,335.24,2.7,0.22,263.83,263.83,0.026383,263.83,335.24,295.49,29.549
2320,1.0,2.0,1.0,11.0,3.0,2.0,1.0,9.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,50.0,1.0,95.0,335.24,3.5,0.3,337.34,337.34,0.033734,337.34,335.24,377.82,37.782
2334,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,116.0,335.24,8.8,0.63,384.96,384.96,0.038496,384.96,335.24,431.16,43.116
2337,1.0,2.0,1.0,11.0,3.0,1.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,116.0,335.24,1.65,0.75,107.7,107.7,0.01077,107.7,335.24,120.61999999999999,12.062
2358,1.0,2.0,1.0,11.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,131.0,335.24,7.22,1.19,614.61,614.61,0.061461,614.61,335.24,688.36,68.836
2359,1.0,2.0,1.0,11.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,131.0,335.24,6.53,0.36,555.74,555.74,0.055574,555.74,335.24,622.4300000000001,62.243
2360,1.0,2.0,1.0,11.0,3.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,131.0,335.24,5.22,0.32,443.66,443.66,0.044366,443.66,335.24,496.90000000000003,49.69
2361,1.0,2.0,1.0,11.0,3.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,131.0,335.24,2.63,0.21,224.49,224.49,0.022449,224.49,335.24,251.43,25.143
2363,1.0,2.0,1.0,11.0,3.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,131.0,335.24,2.37,0.47,304.58,304.58,0.030458,304.58,335.24,341.13,34.113
2364,1.0,2.0,1.0,11.0,3.0,1.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,131.0,335.24,20.55,0.23,1166.37,1167.16,0.116637,1166.37,335.24,1306.33,130.633
2371,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,146.0,335.24,4.1,0.45,414.93,195.31,0.041493,414.93,335.24,464.71999999999997,46.472
2373,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,146.0,335.24,4.0,0.16,297.26,297.26,0.029726,297.26,335.24,332.93,33.293
2458,1.0,2.0,2.0,5.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,2.0,335.71,2.5,0.36,118.59,118.59,0.011859,118.59,335.71,134.01000000000002,13.401
2461,1.0,2.0,2.0,5.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,2.0,335.71,4.0,0.58,127.36,127.36,0.012736,127.36,335.71,143.92000000000002,14.392
2472,1.0,2.0,2.0,5.0,4.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,10.0,335.71,12.9,0.88,547.26,547.26,0.054726,547.26,335.71,618.4,61.84
2475,1.0,2.0,2.0,5.0,4.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,10.0,335.71,20.4,1.09,802.01,802.01,0.080201,802.01,335.71,906.27,90.627
2482,1.0,2.0,2.0,5.0,4.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,14.0,335.71,18.4,1.2,957.21,957.21,0.095721,957.21,335.71,1081.6499999999999,108.165
