,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of UREA fertilizer used, if both DAP and UREA are used","Quantity of DAP fertilizer used, if both DAP and UREA are used",Quantity of NPS fertilizer used,Quantity of UREA IF both UREA and NPS are used,Quantity of NPS IF both UREA and NPS are used,Quantity of OTHER fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
1540,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,4.0,3.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,3.0,1.0,0.0,85.0,447.95,2.84,0.0,0.0,0.0,0.0,0.0,4.36,5.0,0.0,0.8,125765.0,0.125765,1257.65,1001.31,1001.31,7.0,222373.0,2.22373,222.373,9.36
1554,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,3.0,1.0,0.0,124.0,447.95,7.1,0.0,0.0,0.0,0.0,0.0,6.02,6.58,0.0,1.41,121266.0,0.121266,1212.66,964.29,965.49,4.0,214418.0,2.14418,214.418,12.6
1561,50.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,1.0,5.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,137.0,447.95,21.7,0.0,0.0,0.0,0.0,0.0,3.95,7.65,0.0,4.3,120131.0,0.120131,1201.31,957.06,956.46,5.0,212411.0,2.12411,212.411,11.600000000000001
1564,50.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,1.0,10.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,137.0,447.95,5.325,0.0,0.0,0.0,0.0,0.0,1.98,1.8,0.0,0.34,35554.0,0.035554,355.54,283.07,283.07,5.0,62865.0,0.62865,62.865,3.7800000000000002
1571,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,100.0,3.0,1.0,0.0,151.0,447.95,10.65,0.0,0.0,0.0,0.0,0.0,5.355,5.922,0.0,0.57,87227.0,0.087227,872.27,694.48,694.48,2.0,154231.0,1.54231,154.231,11.277000000000001
1576,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,164.0,447.95,28.4,0.0,0.0,0.0,0.0,0.0,18.352,17.527,0.0,0.41,155304.0,0.155304,1553.04,1236.5,1236.5,0.5,274602.0,2.74602,274.602,35.879000000000005
1582,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,3.0,1.0,0.0,177.0,447.95,35.5,0.0,0.0,0.0,0.0,0.0,7.5,7.5,0.0,0.31,113061.0,0.113061,1130.61,900.17,900.17,8.0,199910.0,1.9991,199.91,15.0
1586,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,5.0,2.0,2.0,100.0,3.0,1.0,0.0,190.0,447.95,28.4,0.0,0.0,0.0,0.0,0.0,21.76,21.945,0.0,0.82,217567.0,0.217567,2175.67,1732.22,1732.22,7.0,384693.0,3.84693,384.693,43.705
1590,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,2.0,498.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,24989.0,0.024989,249.89,198.96,198.96,1.0,31341.0,0.31341,31.341,0.0
1594,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,67.0,4.0,1.0,0.0,12.0,498.45,20.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,1.2,59673.0,0.059673,596.73,475.1,475.1,5.0,74839.0,0.74839,74.839,24.0
1597,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,3.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,100.0,8.0,1.0,0.0,12.0,498.45,25.0,0.0,0.0,10.5,12.5,0.0,0.0,0.0,0.0,0.39,74032.0,0.074032,740.32,589.43,589.43,30.0,92848.0,0.92848,92.848,23.0
1598,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,100.0,8.0,1.0,0.0,12.0,498.45,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.72,24441.0,0.024441,244.41,194.59,194.59,6.0,30653.0,0.30653,30.653,2.0
1600,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,100.0,33.0,1.0,0.0,22.0,498.45,49.404082083647324,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,2.16,106535.0,0.106535,1065.35,844.39,848.21,500.0,133612.0,1.33612,133.612,25.0
1603,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,4.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,50.0,4.0,1.0,0.0,32.0,498.45,25.0,0.0,0.0,7.5,7.5,0.0,0.0,0.0,0.0,1.47,70979.0,0.070979,709.79,565.12,565.12,4.0,89019.0,0.89019,89.019,15.0
1605,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,2.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,50.0,4.0,1.0,0.0,32.0,498.45,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,18743.0,0.018743,187.43,149.23,149.23,2.0,23506.0,0.23506,23.506,0.0
1607,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,3.0,2.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,4.0,1.0,0.0,32.0,498.45,15.0,0.0,0.0,9.5,9.5,0.0,0.0,0.0,0.0,2.63,57382.0,0.057382,573.82,1225.9174993184465,456.86,5.0,71966.0,0.71966,71.966,19.0
1608,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,4.0,1.0,0.0,32.0,498.45,25.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.99,115827.0,0.115827,1158.27,922.19,922.19,6.0,145266.0,1.45266,145.266,25.0
1613,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,3.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,50.0,33.0,1.0,0.0,56.0,498.45,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,32182.0,0.032182,321.82,256.23,256.23,400.0,40361.0,0.40361,40.361,0.0
1614,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,8.0,1.0,0.0,56.0,498.45,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,28702.0,0.028702,287.02,228.52,228.52,6.0,35996.0,0.35996,35.996,0.0
1615,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,7.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,56.0,498.45,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,16916.0,0.016916,169.16,134.68,134.68,2.0,21216.0,0.21216,21.216,0.0
1620,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,33.0,1.0,0.0,66.0,498.45,25.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,1.25,190403.0,0.190403,1904.03,1515.95,1515.95,1500.0,238796.0,2.38796,238.796,24.0
1622,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,5.0,1.0,2.0,8.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,75.0,33.0,1.0,0.0,66.0,498.45,15.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.17,53743.0,0.053743,537.43,427.89,427.89,500.0,67402.0,0.67402,67.402,12.0
1624,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,76.0,498.45,4.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,1.54,84759.0,0.084759,847.59,674.83,674.83,1.0,106301.0,1.06301,106.301,50.0
1628,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,95.0,4.0,1.0,0.0,96.0,498.45,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,35301.0,0.035301,353.01,281.06,281.06,3.0,44273.0,0.44273,44.273,3.0
1630,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,4.0,1.0,0.0,96.0,498.45,6.0,0.0,0.0,3.0,2.75,0.0,0.0,0.0,0.0,0.75,37120.0,0.03712,371.2,295.54,295.54,3.0,46554.0,0.46554,46.554,5.75
1640,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,88.0,33.0,1.0,0.0,116.0,498.45,25.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.26,60399.0,0.060399,603.99,480.88,480.88,400.0,75750.0,0.7575,75.75,20.0
1641,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,90.0,33.0,1.0,0.0,116.0,498.45,15.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.31,99347.0,0.099347,993.47,790.98,790.98,400.0,124597.0,1.24597,124.597,25.0
1647,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,1.0,2.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,80.0,1.0,1.0,0.0,126.0,498.45,18.57,0.0,0.0,0.0,0.0,0.0,12.38,12.38,0.0,0.47,118077.0,0.118077,1180.77,940.1,940.1,0.5,148088.0,1.48088,148.088,24.76
1648,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,2.0,2.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,80.0,4.0,1.0,0.0,126.0,498.45,4.1,0.0,0.0,0.0,0.0,0.0,2.73,2.73,0.0,0.56,26097.0,0.026097,260.97,207.78,207.78,2.0,32729.0,0.32729,32.729,5.46
1649,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,3.0,2.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,80.0,4.0,1.0,0.0,126.0,498.45,2.036,0.0,0.0,0.0,0.0,0.0,1.57,1.57,0.0,0.41,15029.0,0.015029,150.29,119.66,119.66,1.0,18848.0,0.18848,18.848,3.14
1650,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,4.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,126.0,498.45,2.29,0.0,0.0,0.0,0.0,0.0,1.53,1.53,0.0,0.4,18217.0,0.018217,182.17,145.04,145.04,1.0,22847.0,0.22847,22.847,3.06
1651,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,5.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,126.0,498.45,1.03,0.0,0.0,0.0,0.0,0.0,0.69,0.69,0.0,0.58,8195.0,0.008195,81.95,65.25,65.25,1.0,10278.0,0.10278,10.278,1.38
1652,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,6.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,126.0,498.45,1.64,0.0,0.0,0.0,0.0,0.0,1.09,1.09,0.0,0.47,13076.0,0.013076,130.76,104.11,104.11,1.0,16400.0,0.164,16.4,2.18
1656,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,4.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,50.0,33.0,1.0,0.0,136.0,498.45,20.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.57,40233.0,0.040233,402.33,320.33,320.33,400.0,50458.0,0.50458,50.458,10.0
1657,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,1.0,1.0,0.0,136.0,498.45,30.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,0.53,88073.0,0.088073,880.73,701.22,701.22,0.5,110458.0,1.10458,110.458,35.0
1662,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,4.0,1.0,0.0,146.0,498.45,10.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.46,21416.0,0.021416,214.16,170.51,170.51,7.0,26860.0,0.2686,26.86,12.0
