,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of UREA fertilizer used, if both DAP and UREA are used","Quantity of DAP fertilizer used, if both DAP and UREA are used",Quantity of OTHER fertilizer used,Quantity of UREA IF both UREA and NPS are used,Quantity of NPS IF both UREA and NPS are used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
874,50.0,1.0,1.0,3.0,11.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,90.0,32.0,1.0,0.0,3.0,329.85,0.58,0.0,0.0,0.49,0.57,0.0,0.0,0.0,1.02,27803.0,0.027803,278.03,89.96,89.96,80.0,46153.0,0.46153,46.153,1.06
896,50.0,1.0,1.0,3.0,11.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,5.0,1.0,0.0,40.0,329.85,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,40274.0,0.040274,402.74,130.31,130.31,15.0,66855.0,0.66855,66.855,0.0
976,50.0,1.0,1.0,3.0,11.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,5.0,1.0,0.0,174.0,329.85,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,127870.0,0.12787,1278.7,413.74,413.74,30.0,212264.0,2.12264,212.264,0.0
983,50.0,1.0,1.0,3.0,11.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,3.0,1.0,0.0,188.0,329.85,1.58,0.0,0.0,0.0,0.0,5.8,0.0,0.0,1.44,91269.0,0.091269,912.69,295.31,295.31,1.3,151507.0,1.51507,151.507,5.8
994,50.0,1.0,1.0,3.0,11.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,40.0,3.0,1.0,0.0,195.0,329.85,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,53424.0,0.053424,534.24,172.86,172.86,1.5,88684.0,0.88684,88.684,0.0
1062,50.0,1.0,1.0,3.0,17.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,75.0,5.0,1.0,0.0,34.0,306.11,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,10493.0,0.010493,104.93,33.95,33.95,10.0,17418.0,0.17418,17.418,0.0
1063,50.0,1.0,1.0,3.0,17.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,32.0,1.0,0.0,34.0,306.11,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,9544.0,0.009544,95.44,30.88,30.88,16.0,15843.0,0.15843,15.843,0.0
1171,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,3.0,1.0,0.0,3.0,270.85,1.44,0.0,0.0,3.2,5.0,0.0,0.0,0.0,2.8,134756.0,0.134756,1347.56,436.02,436.02,2.0,223695.0,2.23695,223.695,8.2
1172,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,5.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,3.0,270.85,0.96,0.0,0.0,2.1,2.0,0.0,0.0,0.0,0.45,24490.0,0.02449,244.9,79.24,79.24,1.0,40653.0,0.40653,40.653,4.1
1173,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,5.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,3.0,270.85,0.96,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.43,16977.0,0.016977,169.77,54.93,54.93,3.0,28182.0,0.28182,28.182,3.0
1206,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,68.0,270.85,0.48,0.0,0.0,0.7,0.76,0.0,0.0,0.0,1.54,33552.0,0.033552,335.52,108.56,108.56,1.0,55696.0,0.55696,55.696,1.46
1207,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,100.0,4.0,1.0,0.0,68.0,270.85,0.48,0.0,0.0,0.7,0.76,0.0,0.0,0.0,1.93,11299.0,0.011299,112.99,36.56,36.56,1.0,18756.0,0.18756,18.756,1.46
1208,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,68.0,270.85,2.4,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.39,41414.0,0.041414,414.14,134.0,134.0,1.0,68747.0,0.68747,68.747,0.76
1241,50.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,113.0,270.85,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,52036.0,0.052036,520.36,168.37,168.37,2.0,86380.0,0.8638,86.38,0.0
2255,50.0,1.0,1.0,6.0,16.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,190.0,302.78,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,71962.0,0.071962,719.62,232.84,232.84,1.0,119457.0,1.19457,119.457,4.0
2278,50.0,1.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,25.0,3.0,1.0,0.0,42.0,370.21,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,4993.0,0.004993,49.93,37.81,37.81,0.3,4142.0,0.04142,4.142,0.0
2293,50.0,1.0,2.0,1.0,2.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,100.0,8.0,1.0,0.0,91.0,370.21,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,5808.0,0.005808,58.08,43.98,43.98,2.0,4819.0,0.04819,4.819,0.0
2303,50.0,1.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,75.0,3.0,1.0,0.0,109.0,370.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,38992.0,0.038992,389.92,295.26,295.26,1.0,32347.0,0.32347,32.347,0.0
2471,50.0,1.0,2.0,1.0,16.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,4.0,344.43,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,46061.0,0.046061,460.61,348.79,348.79,3.0,38211.0,0.38211,38.211,0.0
2472,50.0,1.0,2.0,1.0,16.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,4.0,344.43,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,47477.0,0.047477,474.77,359.51,359.51,3.0,39386.0,0.39386,39.386,0.0
2497,50.0,1.0,2.0,1.0,16.0,3.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,63.0,344.43,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,39293.0,0.039293,392.93,1326.49257833109,297.54,3.0,32597.0,0.32597,32.597,0.0
2619,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,4.0,1.0,0.0,11.0,288.85,1.6,0.0,0.0,2.5,4.5,0.0,0.0,0.0,0.68,50023.0,0.050023,500.23,378.79,378.79,5.0,92619.0,0.92619,92.619,7.0
2628,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,16.0,288.85,25.4,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.13,124575.0,0.124575,1245.75,943.32,943.32,0.25,230656.0,2.30656,230.656,16.0
2649,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,4.0,1.0,0.0,41.0,288.85,4.24,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.19,17445.0,0.017445,174.45,132.1,132.1,3.0,32300.0,0.323,32.3,1.6
2650,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,41.0,288.85,2.5,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.18,25202.0,0.025202,252.02,190.84,190.84,2.0,46662.0,0.46662,46.662,1.6
2659,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,4.0,1.0,0.0,46.0,288.85,2.1,0.0,0.0,2.342,2.342,0.0,0.0,0.0,0.33,13778.0,0.013778,137.78,104.33,104.33,6.0,25510.0,0.2551,25.51,4.684
2660,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,4.0,1.0,0.0,46.0,288.85,2.3,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.8,25980.0,0.02598,259.8,196.73,196.73,7.0,48103.0,0.48103,48.103,7.0
2661,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,4.0,1.0,0.0,46.0,288.85,3.1,0.0,0.0,3.5,3.5,0.0,0.0,0.0,0.37,27445.0,0.027445,274.45,207.82,207.82,8.0,50815.0,0.50815,50.815,7.0
2662,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,4.0,1.0,0.0,46.0,288.85,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.36,55187.0,0.055187,551.87,417.89,417.89,6.0,102181.0,1.02181,102.181,6.0
2666,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,46.0,288.85,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,12705.0,0.012705,127.05,96.21,96.21,1.0,23524.0,0.23524,23.524,0.0
2673,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,56.0,288.85,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,33176.0,0.033176,331.76,251.22,251.22,3.0,61427.0,0.61427,61.427,0.0
2685,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,4.0,1.0,0.0,71.0,288.85,2.3,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.91,55867.0,0.055867,558.67,423.04,423.04,6.0,103440.0,1.0344,103.44,4.0
2723,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,106.0,288.85,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,23845.0,0.023845,238.45,180.56,180.56,2.0,44150.0,0.4415,44.15,0.0
2724,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,106.0,288.85,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,74952.0,0.074952,749.52,567.56,567.56,6.0,138777.0,1.38777,138.777,0.0
2739,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,121.0,288.85,2.4,0.0,0.0,7.2,7.2,0.0,0.0,0.0,0.35,154395.0,0.154395,1543.95,1169.13,1169.13,0.5,285868.0,2.85868,285.868,14.4
2770,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,100.0,4.0,1.0,0.0,23.0,282.82,5.5,0.0,0.0,4.28,4.28,0.0,0.0,0.0,0.63,33920.0,0.03392,339.2,256.85,256.85,3.0,51793.0,0.51793,51.793,8.56
2772,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,3.0,1.0,0.0,23.0,282.82,2.12,0.0,0.0,4.501,4.501,0.0,0.0,0.0,0.62,26475.0,0.026475,264.75,200.48,200.48,1.3,40425.0,0.40425,40.425,9.002
2777,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,14.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,4.0,1.0,0.0,23.0,282.82,5.4,0.0,0.0,2.069,2.069,0.0,0.0,0.0,1.06,12168.0,0.012168,121.68,92.14,92.14,3.0,18579.0,0.18579,18.579,4.138
2803,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,3.0,1.0,0.0,78.0,282.82,2.75,0.0,0.0,1.274,1.274,0.0,0.0,0.0,2.2,7494.0,0.007494,74.94,56.75,56.75,15.0,11442.0,0.11442,11.442,2.548
2805,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,4.0,1.0,0.0,78.0,282.82,2.06,0.0,0.0,5.059,5.059,0.0,0.0,0.0,1.29,29758.0,0.029758,297.58,225.34,225.34,2.0,45439.0,0.45439,45.439,10.118
2808,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,96.0,282.82,4.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,22294.0,0.022294,222.94,168.82,168.82,2.0,34041.0,0.34041,34.041,0.0
2811,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,96.0,282.82,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,50003.0,0.050003,500.03,378.64,378.64,3.0,76351.0,0.76351,76.351,0.0
2864,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,75.0,3.0,1.0,0.0,13.0,361.85,5.1,0.0,0.0,4.9,3.36,0.0,0.0,0.0,0.6,32864.0,0.032864,328.64,248.86,248.86,3.0,80606.0,0.80606,80.606,8.26
2880,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,3.0,1.0,0.0,43.0,361.85,10.2,0.0,0.0,4.56,3.36,0.0,0.0,0.0,1.15,68935.0,0.068935,689.35,1326.49257833109,522.0,2.0,169076.0,1.69076,169.076,7.92
2891,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,90.0,4.0,1.0,0.0,58.0,361.85,1.02,0.0,0.0,1.52,1.68,0.0,0.0,0.0,0.27,17623.0,0.017623,176.23,133.45,133.45,2.0,43224.0,0.43224,43.224,3.2
2892,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,58.0,361.85,1.02,0.0,1.68,0.0,0.0,0.0,0.0,0.0,1.58,17919.0,0.017919,179.19,135.69,135.69,1.0,43950.0,0.4395,43.95,1.68
2893,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,58.0,361.85,4.08,0.0,0.0,4.358,4.358,0.0,0.0,0.0,0.73,25637.0,0.025637,256.37,194.13,194.13,4.0,62879.0,0.62879,62.879,8.716
2900,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,95.0,4.0,1.0,0.0,73.0,361.85,2.55,0.0,0.0,0.76,0.8,0.0,0.0,0.0,1.81,14638.0,0.014638,146.38,110.84,110.84,2.0,35903.0,0.35903,35.903,1.56
2907,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,78.0,361.85,4.08,0.0,0.0,0.76,0.84,0.0,0.0,0.0,1.01,24850.0,0.02485,248.5,188.17,188.17,2.0,60949.0,0.60949,60.949,1.6
2913,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,12.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,80.0,4.0,1.0,0.0,93.0,361.85,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,35701.0,0.035701,357.01,270.34,270.34,2.0,87564.0,0.87564,87.564,0.0
2916,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,3.0,1.0,0.0,108.0,361.85,5.1,0.0,0.0,1.86,2.52,0.0,0.0,0.0,1.07,43652.0,0.043652,436.52,330.55,330.55,1.0,107065.0,1.07065,107.065,4.38
