,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Part,Field Type,CROP,Owner type,Extension,Irrigation Used,Soil Erosion,Measure taken to soil erosion,Seed Type,Any Damage?,Any Measure to Prevent Damage,Type of Damage Prevention,Fertilizer Used,How many times do you produce crops,What was the field used for?,Percent of Field in Use,Land Utilization,Household Id,Sampling Weight,Weight of Non-improved Seed,Closure Error,Enumerator Area in sqm,Computed Area in sqm,Area in Square meter,Production Of Condition in Kg
470,1.0,1.0,2.0,12.0,5.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,63.0,250.82,1.34,1.76,411.26,411.26,411.26000000000005,366.02000000000004
518,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,118.0,250.82,2.6,1.86,264.04,1399.5118858181268,264.04,235.0
835,1.0,1.0,3.0,10.0,4.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,57.0,249.92,0.68,3.12,158.78,158.78,158.78,104.79
971,1.0,1.0,3.0,13.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,113.0,275.07,4.37,1.3,827.05,827.05,827.05,669.91
977,1.0,1.0,3.0,13.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,127.0,275.07,6.25,2.68,480.09,480.09,480.09000000000003,388.87
1222,1.0,1.0,4.0,7.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,3.0,247.94,1.59,1.06,220.83,220.83,220.82999999999998,83.91999999999999
1300,1.0,1.0,4.0,10.0,3.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,54.0,306.36,1.68,3.69,99.34,99.34,99.34,75.5
1386,1.0,1.0,4.0,10.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,185.0,306.36,0.32,0.25,101.62,101.62,101.61999999999999,77.23
1552,1.0,1.0,5.0,11.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,4.0,335.15,1.18,2.76,99.43,99.43,99.43,94.46
1592,1.0,1.0,5.0,11.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,9.0,100.0,1.0,157.0,335.15,11.865777618481049,1.7221418379631694,1408.2201933598978,1399.5118858181268,99.43,94.46
1687,1.0,1.0,5.0,16.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,97.0,288.85,0.8,1.81,83.38,83.38,83.38,79.21000000000001
1735,1.0,1.0,5.0,16.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,226.0,288.85,2.24,2.97,182.74,182.74,182.73999999999998,173.6
2013,1.0,1.0,6.0,14.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,76.0,248.03,1.44,0.41,182.94,182.94,182.94000000000003,137.21
2186,1.0,1.0,6.0,19.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,46.0,291.21,3.4,0.85,1431.73,1431.73,1431.73,1073.8
2196,1.0,1.0,6.0,19.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,81.0,291.21,11.865777618481049,1.49,582.51,582.51,582.51,436.88
2207,1.0,1.0,6.0,19.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,123.0,291.21,4.08,1.47,559.83,559.83,559.8299999999999,419.86999999999995
2210,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,130.0,291.21,2.72,1.42,659.89,659.89,659.8900000000001,494.92
2234,1.0,1.0,6.0,19.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,193.0,291.21,3.4,1.61,413.53,413.53,413.53000000000003,310.15000000000003
2400,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,5.0,417.5,2.88,1.95,124.67,124.67,124.67,155.84
2402,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,5.0,417.5,7.2,1.0,188.34,188.34,188.34,235.42999999999998
2417,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,36.0,417.5,2.16,0.62,153.1,152.86,153.1,191.38
2432,1.0,2.0,1.0,11.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,76.0,417.5,16.6,1.92,896.76,896.76,896.7600000000001,1120.95
2442,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,92.0,417.5,8.64,1.35,1278.15,1278.15,1278.15,1597.69
2462,1.0,2.0,1.0,11.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,128.0,417.5,1.44,0.62,111.45,111.45,111.45,139.31
2466,1.0,2.0,1.0,11.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,100.0,1.0,138.0,417.5,4.32,2.49,242.78,242.78,242.78,303.48
2483,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,163.0,417.5,3.6,0.7,226.32,226.32,226.32,282.90000000000003
2494,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,179.0,417.5,6.32,1.14,759.35,759.35,759.35,949.1899999999999
2548,1.0,2.0,2.0,5.0,4.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,50.0,1.0,16.0,345.46,5.32,0.47,234.31,234.31,234.31,302.26
2585,1.0,2.0,2.0,5.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,61.0,345.46,5.7,0.8,263.09,263.09,263.09,339.39
2593,1.0,2.0,2.0,5.0,4.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,74.0,345.46,3.95,1.66,142.05,142.05,142.05,183.24
2607,1.0,2.0,2.0,5.0,4.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,86.0,345.46,0.76,1.71,179.27,177.65,179.26999999999998,231.26000000000002
2609,1.0,2.0,2.0,5.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,90.0,345.46,7.6,2.37,235.29,235.29,235.29000000000002,303.52000000000004
2620,1.0,2.0,2.0,5.0,4.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,98.0,345.46,23.13,1.18,244.31,244.31,244.31,315.16
2621,1.0,2.0,2.0,5.0,4.0,1.0,1.0,7.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,98.0,345.46,12.08,3.61,199.62,199.62,199.62,257.51
2624,1.0,2.0,2.0,5.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,50.0,1.0,102.0,345.46,11.85,1.66,276.19,276.19,276.19,356.29
2626,1.0,2.0,2.0,5.0,4.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,102.0,345.46,15.8,2.22,162.88,162.88,162.88,210.12
2636,1.0,2.0,2.0,5.0,4.0,2.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,50.0,1.0,110.0,345.46,9.5,3.14,115.52,115.52,115.52,149.02
2648,1.0,2.0,2.0,5.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,122.0,345.46,3.16,4.17,312.56,312.56,312.56,403.2
2702,1.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,100.0,1.0,117.0,443.21,12.64,2.87,361.36,361.36,361.36,458.92999999999995
2704,1.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,122.0,443.21,9.12,0.47,409.82,409.82,409.82,520.47
2707,1.0,2.0,2.0,9.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,1.0,122.0,443.21,6.56,2.63,104.79,104.79,104.79,133.07999999999998
2734,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,28.0,345.22,2.34,1.62,431.44,445.78,431.44,647.16
2736,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,28.0,345.22,2.73,0.55,149.21,149.21,149.21,223.82
2738,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,28.0,345.22,1.95,1.48,171.77,171.77,171.77,257.66
2740,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,28.0,345.22,1.56,1.23,88.49,88.49,88.49,132.73999999999998
2763,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,58.0,345.22,3.9,0.65,48.27,448.63,448.63,672.9499999999999
2765,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,58.0,345.22,3.9,0.67,227.95,227.95,227.95,341.92999999999995
2834,1.0,2.0,2.0,13.0,7.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,108.0,345.22,1.48,0.75,114.72,114.72,114.72,172.08
2839,1.0,2.0,2.0,13.0,7.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,119.0,345.22,1.56,0.13,247.97,247.97,247.97,371.96
2877,1.0,2.0,2.0,17.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,9.0,345.43,2.32,0.68,234.45,234.45,234.45000000000002,293.06
2883,1.0,2.0,2.0,17.0,5.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,100.0,1.0,13.0,345.43,1.52,2.29,79.88,79.88,79.88000000000001,99.85000000000001
2886,1.0,2.0,2.0,17.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,21.0,345.43,4.06,1.04,525.0,525.0,525.0,656.25
2895,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,33.0,345.43,4.64,1.07,248.53,248.53,248.53,310.65999999999997
2917,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,71.0,345.43,11.6,1.9,470.28,470.28,470.28000000000003,587.85
2922,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,75.0,345.43,2.32,3.15,262.56,262.56,262.56,328.2
2933,1.0,2.0,2.0,17.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,60.0,1.0,95.0,345.43,6.96,2.03,377.88,377.88,377.88,472.34999999999997
2969,1.0,2.0,2.0,22.0,3.0,2.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,14.0,368.9,4.25,1.06,135.83,135.83,135.82999999999998,202.39
2980,1.0,2.0,2.0,22.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,29.0,368.9,3.0,1.54,164.04,164.04,164.04,244.42
2983,1.0,2.0,2.0,22.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,34.0,368.9,1.25,2.19,114.33,114.33,114.33,170.35
2984,1.0,2.0,2.0,22.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,34.0,368.9,4.5,1.0,282.69,282.69,282.69,421.21000000000004
2994,1.0,2.0,2.0,22.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,25.0,1.0,44.0,368.9,10.5,1.88,191.37,191.37,191.37,285.14
2996,1.0,2.0,2.0,22.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,25.0,1.0,44.0,368.9,12.75,1.23,196.78,196.78,196.78,293.2
3013,1.0,2.0,2.0,22.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,49.0,368.9,8.55,1.23,162.68,162.68,162.68,242.39000000000001
3015,1.0,2.0,2.0,22.0,3.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,49.0,368.9,6.15,2.17,120.72,120.72,120.72,179.87
3017,1.0,2.0,2.0,22.0,3.0,1.0,1.0,9.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,49.0,368.9,8.9,2.26,166.06,166.06,166.06,247.43
3019,1.0,2.0,2.0,22.0,3.0,1.0,1.0,9.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,49.0,368.9,6.75,1.53,140.83,140.83,140.83,209.83999999999997
3028,1.0,2.0,2.0,22.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,64.0,368.9,12.6,0.28,393.77,393.77,393.77000000000004,586.72
3036,1.0,2.0,2.0,22.0,3.0,1.0,1.0,1.0,14.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,64.0,368.9,6.25,3.21,311.83,311.83,311.83,464.63
3041,1.0,2.0,2.0,22.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,74.0,368.9,31.75,2.61,538.52,538.52,538.52,802.39
3064,1.0,2.0,2.0,22.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,94.0,368.9,6.4,3.06,143.09,143.09,143.09,213.20000000000002
3066,1.0,2.0,2.0,22.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,94.0,368.9,22.8,1.95,543.28,543.28,543.28,809.4900000000001
3069,1.0,2.0,2.0,22.0,3.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,94.0,368.9,3.75,1.78,307.61,307.61,307.61,458.34000000000003
3075,1.0,2.0,2.0,22.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,104.0,368.9,43.64,1.11,689.07,689.07,689.0699999999999,1026.71
3076,1.0,2.0,2.0,22.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,104.0,368.9,13.45,2.24,263.17,263.17,263.17,392.12
3082,1.0,2.0,2.0,22.0,3.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,109.0,368.9,38.01,0.98,536.76,536.76,536.76,799.77
3084,1.0,2.0,2.0,22.0,3.0,2.0,1.0,1.0,10.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,109.0,368.9,14.0,0.51,224.33,224.33,224.33,334.25
3101,1.0,2.0,2.0,22.0,3.0,1.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,60.0,1.0,124.0,368.9,14.5,0.5,323.98,320.42,323.98,482.73
3122,1.0,2.0,2.0,22.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,100.0,1.0,140.0,368.9,49.35,1.23,2113.21,2113.21,2113.21,3148.68
3132,1.0,2.0,2.0,22.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,150.0,368.9,45.25,1.2,683.99,683.99,683.99,1019.15
3140,1.0,2.0,2.0,27.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,2.0,345.6,37.15,1.29,1025.61,1025.61,1025.61,1282.01
3141,1.0,2.0,2.0,27.0,5.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,33.0,1.0,2.0,345.6,18.49,1.7221418379631694,1408.2201933598978,1399.5118858181268,449.70000000000005,562.13
3151,1.0,2.0,2.0,27.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,100.0,1.0,32.0,345.6,3.1,3.81,147.34,147.34,147.34,184.18
3152,1.0,2.0,2.0,27.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,50.0,1.0,32.0,345.6,33.79,2.73,777.64,777.64,777.64,972.05
3163,1.0,2.0,2.0,27.0,5.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,42.0,345.6,26.1,4.55,301.6,301.6,301.59999999999997,377.0
3164,1.0,2.0,2.0,27.0,5.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,42.0,345.6,24.41,1.56,287.15,287.15,287.15000000000003,358.94
