,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of BLENDED fertilizer used,Area in Square meter,Respondent local area,Holder Condition,Production Of Condition in Kg,Fertilizer Quantity
50,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,77.0,337.32,8.2,0.0,0.0,0.0,0.0,1147.6,1.0,0.0,256.486,0.0
51,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,100.0,81.0,337.32,19.68,0.0,0.0,0.0,0.0,5135.15,2.0,0.0,1147.697,0.0
53,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,1.0,311.53,14.0,0.0,0.0,0.0,0.0,563.25,2.0,0.0,144.904,0.0
54,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,5.0,311.53,5.0,0.0,0.0,4.0,0.0,435.8,5.0,0.0,112.116,4.0
55,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,5.0,311.53,1.0,0.0,0.0,4.0,0.0,498.8,5.0,0.0,128.323,4.0
56,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,5.0,311.53,1.0,0.0,0.0,2.0,0.0,468.1,3.0,0.0,120.425,2.0
57,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,5.0,311.53,1.0,0.0,0.0,1.0,0.0,436.15,3.0,0.0,112.206,1.0
59,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,5.0,311.53,2.0,0.0,0.0,20.0,0.0,227.7,150.0,0.0,58.579,20.0
60,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,5.0,311.53,1.5,0.0,0.0,15.0,0.0,256.55,1.0,0.0,66.001,15.0
61,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,5.0,311.53,1.5,0.0,0.0,15.0,0.0,195.6,1.0,0.0,50.321,15.0
63,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,9.0,311.53,10.0,25.0,0.0,25.0,0.0,321.45,1.5,0.0,82.698,50.0
64,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,13.0,311.53,6.0,25.0,0.0,100.0,0.0,769.85,1.0,0.0,198.055,125.0
65,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,13.0,311.53,6.0,4.0,0.0,6.0,0.0,804.55,1.0,0.0,206.982,10.0
66,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,13.0,311.53,5.0,4.0,0.0,6.0,0.0,841.4,1.0,0.0,216.462,10.0
70,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,13.0,311.53,4.0,4.0,0.0,4.0,0.0,521.35,0.5,0.0,134.125,8.0
71,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,13.0,311.53,6.0,4.0,0.0,6.0,0.0,506.5,0.5,0.0,130.304,10.0
72,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,13.0,311.53,8.0,4.0,0.0,8.0,0.0,535.1,0.5,0.0,137.662,12.0
75,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,100.0,17.0,311.53,18.0,25.0,0.0,100.0,0.0,1136.95,4.0,0.0,292.496,125.0
76,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,21.0,311.53,8.0,50.0,0.0,50.0,0.0,135.95,2.0,0.0,34.975,100.0
78,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,25.0,311.53,18.0,0.0,0.0,50.0,0.0,972.35,4.0,0.0,250.151,50.0
80,1.0,1.0,1.0,7.0,10.0,2.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,29.0,311.53,6.0,0.0,0.0,40.0,0.0,548.15,2.0,0.0,141.019,40.0
82,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,33.0,311.53,13.0,20.0,0.0,20.0,0.0,472.5,3.0,0.0,121.557,40.0
84,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,37.0,311.53,18.0,25.0,0.0,100.0,0.0,254.8,2.0,0.0,65.551,125.0
85,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,41.0,311.53,2.0,0.0,0.0,12.0,0.0,102.85,5.0,0.0,26.46,12.0
88,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,50.0,311.53,18.0,20.0,0.0,20.0,0.0,311.6,4.0,0.0,80.163,40.0
89,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,100.0,55.0,311.53,8.0,0.0,0.0,0.0,0.0,285.0,1.0,0.0,73.32,0.0
90,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,55.0,311.53,8.0,0.0,0.0,0.0,0.0,227.15,0.5,0.0,58.438,0.0
92,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,60.0,311.53,6.0,0.0,0.0,25.0,0.0,304.85,1.0,0.0,78.427,25.0
94,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,64.0,311.53,22.0,0.0,0.0,50.0,0.0,2974.7,4.0,0.0,765.283,50.0
95,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,100.0,64.0,311.53,16.0,0.0,0.0,50.0,0.0,1450.0,3.0,0.0,373.033,50.0
97,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,68.0,311.53,18.0,50.0,0.0,50.0,0.0,356.85,1.5,0.0,91.805,100.0
98,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,72.0,311.53,18.0,100.0,0.0,25.0,0.0,619.55,3.0,0.0,159.388,125.0
101,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,2.0,100.0,76.0,311.53,44.0,0.0,0.0,50.0,0.0,580.8,4.0,0.0,149.419,50.0
103,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,80.0,311.53,6.0,25.0,0.0,25.0,0.0,638.3,4.0,0.0,164.212,50.0
104,1.0,1.0,1.0,7.0,10.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,80.0,311.53,6.0,25.0,0.0,25.0,0.0,604.55,4.0,0.0,155.529,50.0
106,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,3.0,309.15,8.0,0.0,0.0,0.0,0.0,2677.5,2.0,0.0,1132.256,0.0
107,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,3.0,309.15,9.0,0.0,0.0,0.0,0.0,2627.75,2.0,0.0,1111.216,0.0
108,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,3.0,309.15,15.0,0.0,0.0,0.0,0.0,3743.2,4.0,0.0,1582.916,0.0
109,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,3.0,309.15,6.0,0.0,0.0,0.0,0.0,2389.3,2.0,0.0,1010.382,0.0
111,1.0,1.0,1.0,9.0,10.0,2.0,1.0,6.0,3.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,8.0,309.15,5.0,12.5,12.5,0.0,0.0,303.65,0.5,0.0,128.407,25.0
113,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,13.0,309.15,6.0,13.0,20.0,0.0,0.0,3457.4,3.0,0.0,1462.057,33.0
115,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,18.0,309.15,3.0,0.0,0.0,0.0,0.0,1828.9,1.0,0.0,773.402,0.0
116,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,18.0,309.15,6.0,0.0,0.0,0.0,0.0,3212.25,2.0,0.0,1358.389,0.0
117,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,18.0,309.15,2.0,0.0,0.0,0.0,0.0,789.25,0.5,0.0,333.757,0.0
118,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,100.0,23.0,309.15,6.0,0.0,0.0,0.0,0.0,4280.5,6.0,0.0,1810.129,0.0
120,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,100.0,28.0,309.15,6.0,0.0,0.0,0.0,0.0,4757.6,2.0,0.0,2011.883,0.0
122,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,33.0,309.15,3.0,0.0,0.0,0.0,0.0,1429.25,1.0,0.0,604.398,0.0
123,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,33.0,309.15,8.0,0.0,0.0,0.0,0.0,2235.05,2.0,0.0,945.153,0.0
125,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,38.0,309.15,6.0,0.0,0.0,0.0,0.0,3386.95,2.0,0.0,1432.266,0.0
126,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,38.0,309.15,4.0,0.0,0.0,0.0,0.0,1451.0,2.0,0.0,613.596,0.0
127,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,38.0,309.15,8.0,0.0,0.0,0.0,0.0,582.85,1.0,0.0,246.475,0.0
128,1.0,1.0,1.0,9.0,10.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,38.0,309.15,5.0,0.0,0.0,0.0,0.0,328.0,0.5,0.0,138.704,0.0
130,1.0,1.0,1.0,9.0,10.0,2.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,43.0,309.15,1.5,0.0,0.0,0.0,0.0,900.3,1.0,0.0,380.717,0.0
132,1.0,1.0,1.0,9.0,10.0,2.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,48.0,309.15,6.0,5.0,5.0,0.0,0.0,4558.55,2.0,0.0,1927.71,10.0
