,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,How were seeds planted/ sowed?,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of BLENDED fertilizer used,Area in Square meter,Respondent local area,Production Of Condition in Kg,Fertilizer Quantity
2171,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,4.0,2.0,1.0,8.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,140.0,501.17,15.0,15.0,0.0,10.0,0.0,261.75,0.12,75.145,25.0
2180,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,3.0,330.88,13.33,12.5,0.0,12.5,0.0,1869.0,1.0,347.591,25.0
2182,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,3.0,330.88,7.33,7.0,0.0,7.0,0.0,1357.0,0.5,252.371,14.0
2183,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,2.0,0.0,6.0,330.88,13.33,12.0,0.0,0.0,0.0,1267.55,0.5,235.736,12.0
2184,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,25.0,330.88,20.0,25.0,0.0,15.0,0.0,1241.15,0.5,230.824,40.0
2186,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,41.0,330.88,15.0,5.0,0.0,5.0,0.0,157.15,0.5,29.225,10.0
2187,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,41.0,330.88,20.0,7.5,0.0,7.5,0.0,1097.95,0.5,204.193,15.0
2189,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,41.0,330.88,13.33,7.5,0.0,7.5,0.0,216.05,2.0,40.18,15.0
2192,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,44.0,330.88,8.0,6.5,0.0,6.5,0.0,1022.0,4.0,190.068,13.0
2194,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,55.0,330.88,25.0,15.0,0.0,15.0,0.0,1837.4,1.0,341.713,30.0
2197,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,63.0,330.88,13.33,10.0,0.0,10.0,0.0,1379.8,0.5,256.61,20.0
2198,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,63.0,330.88,6.67,10.5,0.0,10.5,0.0,924.65,4.0,171.964,21.0
2200,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,6.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,63.0,330.88,6.67,5.0,0.0,5.0,0.0,866.05,4.0,161.065,10.0
2201,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,7.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,63.0,330.88,6.67,5.0,0.0,5.0,0.0,766.3,4.0,142.514,10.0
2205,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,5.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,100.0,16.0,0.0,88.0,330.88,6.67,15.0,0.0,0.0,0.0,312.35,1.0,58.09,15.0
2206,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,2.0,1.0,1.0,8.0,2.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,95.0,330.88,24.18323430068698,12.5,0.0,12.5,0.0,2727.8,1.0,507.307,25.0
2207,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,3.0,1.0,1.0,8.0,2.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,95.0,330.88,24.18323430068698,7.5,0.0,7.5,0.0,1357.0,0.5,252.371,15.0
2213,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,95.0,330.88,24.18323430068698,10.0,0.0,10.0,0.0,1097.95,0.5,204.193,20.0
2214,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,9.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,95.0,330.88,24.18323430068698,10.0,0.0,10.0,0.0,1403.0,0.5,260.925,20.0
2218,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,109.0,330.88,13.33,10.0,0.0,10.0,0.0,767.5,4.0,142.738,20.0
2219,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,5.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,109.0,330.88,10.0,10.0,0.0,10.0,0.0,489.95,2.0,91.12,20.0
2222,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,117.0,330.88,33.33,18.0,0.0,18.0,0.0,2720.95,1.0,506.034,36.0
2225,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,5.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,117.0,330.88,13.33,5.0,0.0,5.0,0.0,493.5,3.0,91.78,10.0
2227,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,123.0,330.88,12.0,7.5,0.0,7.5,0.0,832.3,5.0,154.789,15.0
2228,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,2.0,0.0,127.0,330.88,20.0,25.0,0.0,0.0,0.0,1439.05,0.5,267.63,25.0
2230,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,133.0,330.88,25.0,8.0,0.0,8.0,0.0,1269.55,0.5,236.107,16.0
2250,50.0,1.0,2.0,2.0,25.0,3.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,14.0,0.0,23.0,495.2,2.0,2.0,0.0,2.0,0.0,198.8,2.0,34.819,4.0
2311,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,4.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,1.0,0.0,4.0,457.37,1.76,1.15,0.0,1.1,0.0,85.2,3.0,23.383,2.25
2313,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,1.0,0.0,4.0,457.37,1.65,1.46,0.0,1.42,0.0,116.05,3.0,31.851,2.88
2317,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,4.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,4.0,457.37,13.96,2.2,0.0,2.28,0.0,929.75,0.5,255.171,4.48
2318,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,8.0,457.37,6.57,3.96,0.0,3.76,0.0,356.15,5.0,97.746,7.72
2321,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,2.0,0.0,12.0,457.37,17.52,0.0,0.0,0.0,0.0,2882.65,1.25,791.147,0.0
2323,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,4.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,50.0,2.0,0.0,12.0,457.37,7.5,0.0,0.0,0.0,0.0,763.03,1.0,209.415,0.0
2329,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,1.0,0.0,20.0,457.37,7.4,2.19,0.0,1.94,0.0,393.1,7.0,107.886,4.13
2333,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,10.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,1.0,0.0,20.0,457.37,3.65,3.22,0.0,3.76,0.0,183.63,6.0,50.398,6.98
2334,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,11.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,20.0,457.37,23.68,8.65,0.0,8.44,0.0,542.15,0.25,148.794,17.09
2336,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,20.0,457.37,12.33,8.57,0.0,8.68,0.0,348.05,0.5,95.523,17.25
2339,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,5.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,24.0,457.37,12.8,3.65,0.0,3.68,0.0,642.4,0.25,176.308,7.33
2342,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,7.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,24.0,457.37,5.84,2.76,0.0,2.56,0.0,276.8,0.25,75.969,5.32
2345,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,3.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,1.0,0.0,28.0,457.37,2.84,1.08,0.0,1.28,0.0,161.15,5.0,44.228,2.3600000000000003
2347,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,28.0,457.37,6.74,2.89,0.0,2.78,0.0,386.8,6.0,106.158,5.67
2348,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,28.0,457.37,6.58,3.42,0.0,3.31,0.0,459.95,7.0,126.233,6.73
2349,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,3.0,1.0,8.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,28.0,457.37,2.21,1.41,0.0,1.3,0.0,109.0,2.0,29.915,2.71
2350,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,4.0,1.0,8.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,28.0,457.37,5.58,2.38,0.0,2.23,0.0,333.25,4.0,91.461,4.609999999999999
2352,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,28.0,457.37,4.98,4.23,0.0,4.29,0.0,386.43,0.25,106.056,8.52
2353,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,6.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,32.0,457.37,12.5,3.96,0.0,3.96,0.0,409.5,6.0,112.388,7.92
2354,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,7.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,32.0,457.37,4.36,2.48,0.0,2.92,0.0,153.45,4.0,42.114,5.4
2356,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,8.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,32.0,457.37,22.63,3.7,0.0,4.76,0.0,499.23,0.5,137.014,8.46
2359,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,10.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,32.0,457.37,16.79,9.96,0.0,9.18,0.0,727.63,0.5,199.699,19.14
2362,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,32.0,457.37,17.89,5.7,0.0,5.76,0.0,1092.6,1.25,299.865,11.46
2364,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,3.0,1.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,32.0,457.37,14.25,6.74,0.0,6.66,0.0,518.7,0.5,142.357,13.4
2369,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,40.0,457.37,6.5,13.0,0.0,15.0,0.0,383.5,0.5,105.252,28.0
2373,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,44.0,457.37,5.84,2.72,0.0,3.84,0.0,365.1,4.0,100.202,6.5600000000000005
2375,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,3.0,2.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,44.0,457.37,7.7,7.84,0.0,7.36,0.0,583.58,0.5,160.164,15.2
2377,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,49.0,457.37,9.8,6.25,0.0,6.25,0.0,425.2,5.0,116.696,12.5
2381,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,4.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,57.0,457.37,4.44,1.19,0.0,2.14,0.0,214.05,4.0,58.747,3.33
2383,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,5.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,50.0,2.0,0.0,57.0,457.37,5.25,2.65,0.0,2.76,0.0,292.05,0.25,80.154,5.41
2385,50.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,7.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,57.0,457.37,5.2,4.3,0.0,4.92,0.0,161.55,3.0,44.338,9.219999999999999
2388,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,1.0,0.0,61.0,457.37,4.88,1.16,0.0,1.84,0.0,202.73,6.0,55.64,3.0
2390,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,50.0,2.0,0.0,61.0,457.37,7.8,9.1,0.0,8.6,0.0,500.65,0.5,137.404,17.7
2392,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,61.0,457.37,16.44,8.36,0.0,8.44,0.0,1167.2,0.5,320.339,16.799999999999997
