,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,"If natural fertilizer used, type",How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of MIXED fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
20,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,42.0,258.46,10.0,0.0,0.0,0.0,0.0,1.75,426745.0,0.426745,4267.45,4014.16,4014.16,2.0,1629717.0,16.29717,1629.717,0.0
22,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,46.0,258.46,10.0,0.0,0.0,0.0,0.0,3.75,308873.0,0.308873,3088.73,2905.4,2905.4,1.5,1179570.0,11.7957,1179.57,1.0
23,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,50.0,258.46,10.0,0.0,0.0,0.0,0.0,4.45,115121.0,0.115121,1151.21,1082.88,1082.88,0.5,439640.0,4.3964,439.64,0.0
30,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,0.0,1.0,5.0,100.0,1.0,1.0,0.0,78.0,258.46,12.0,0.0,0.0,0.0,0.0,4.95,432573.0,0.432573,4325.73,1369.1838170877845,4068.98,1.75,1651974.0,16.51974,1651.974,0.0
32,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,82.0,258.46,16.0,0.0,0.0,0.0,0.0,0.2,327132.0,0.327132,3271.32,3077.15,3077.15,1.5,1249300.0,12.493,1249.3,1.0
35,50.0,1.0,1.0,1.0,7.0,10.0,1.0,1.0,1.0,3.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,18.0,395.68,2.96,6.0,6.0,0.0,0.0,2.06,336799.0,0.336799,3367.99,3160.53,3168.08,1.0,1234997.0,12.34997,1234.997,13.0
38,50.0,1.0,1.0,1.0,7.0,10.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,26.0,395.68,6.0,50.0,50.0,0.0,0.0,1.21,556294.0,0.556294,5562.94,5232.75,5232.75,2.0,2039856.0,20.39856,2039.856,100.0
39,50.0,1.0,1.0,1.0,7.0,10.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,26.0,395.68,4.75,0.0,0.0,0.0,0.0,3.81,21764.0,0.021764,217.64,204.72,204.72,0.25,79806.0,0.79806,79.806,1.0
41,50.0,1.0,1.0,1.0,7.0,10.0,1.0,1.0,2.0,1.0,1.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,33.0,395.68,12.0,0.0,25.0,0.0,0.0,1.81,528178.0,0.528178,5281.78,4968.28,4968.28,2.0,1936758.0,19.36758,1936.758,26.0
47,50.0,1.0,1.0,1.0,7.0,10.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,48.0,395.68,7.5,12.0,12.0,0.0,0.0,1.89,324626.0,0.324626,3246.26,3053.58,3053.58,1.0,1190359.0,11.90359,1190.359,25.0
50,50.0,1.0,1.0,1.0,7.0,10.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,56.0,395.68,19.25,25.0,25.0,0.0,0.0,1.92,536805.0,0.536805,5368.05,5049.43,5049.43,2.0,1968392.0,19.68392,1968.392,50.0
53,50.0,1.0,1.0,1.0,7.0,10.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,71.0,395.68,22.5,0.0,50.0,0.0,0.0,4.97,195918.0,0.195918,1959.18,1369.1838170877845,1842.89,4.0,718405.0,7.18405,718.405,51.0
55,50.0,1.0,1.0,1.0,7.0,10.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,78.0,395.68,2.0,0.0,0.0,0.0,0.0,1.27,33050.0,0.03305,330.5,310.88,310.88,2.0,121191.0,1.21191,121.191,1.0
57,50.0,1.0,1.0,1.0,7.0,10.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,86.0,395.68,5.25,0.0,12.0,0.0,0.0,4.88,170261.0,0.170261,1702.61,1601.55,1601.55,2.0,624324.0,6.24324,624.324,13.0
58,50.0,1.0,1.0,1.0,7.0,10.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,93.0,395.68,6.0,25.0,50.0,0.0,0.0,0.27,501457.0,0.501457,5014.57,4716.93,4716.93,2.0,1838776.0,18.38776,1838.776,75.0
62,50.0,1.0,1.0,1.0,7.0,10.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,117.0,395.68,18.0,0.0,46.0,0.0,0.0,2.6,367563.0,0.367563,3675.63,3457.46,3457.46,1.5,1347805.0,13.47805,1347.805,47.0
65,50.0,1.0,1.0,1.0,7.0,10.0,1.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,145.0,395.68,5.18,8.0,25.0,0.0,0.0,1.05,557770.0,0.55777,5577.7,5246.64,5246.64,2.0,2045268.0,20.45268,2045.268,34.0
67,50.0,1.0,1.0,1.0,7.0,10.0,2.0,1.0,1.0,3.0,2.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,95.0,1.0,1.0,0.0,152.0,395.68,12.0,0.0,29.004,0.0,0.0,1.48,215631.0,0.215631,2156.31,2028.32,2028.32,1.0,790690.0,7.9069,790.69,29.004
68,50.0,1.0,1.0,1.0,9.0,10.0,2.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,3.0,217.78,4.05,0.0,0.0,0.0,0.0,1.7379636249456547,136356.0,0.136356,1363.56,1369.1838170877845,1380.4153842809528,0.5,407833.0,4.07833,407.833,1.0
70,50.0,1.0,1.0,1.0,9.0,10.0,2.0,1.0,1.0,2.0,1.0,6.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,7.0,217.78,3.0,100.1,0.0,0.0,0.0,1.7379636249456547,161340.0,0.16134,1613.4,1369.1838170877845,1380.4153842809528,0.75,482560.0,4.8256,482.56,100.1
72,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,13.0,217.78,4.0,0.0,25.0,0.0,0.0,1.7379636249456547,476330.0,0.47633,4763.3,1369.1838170877845,1380.4153842809528,1.5,1424677.0,14.24677,1424.677,25.0
73,50.0,1.0,1.0,1.0,9.0,10.0,2.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,100.0,31.0,1.0,0.0,17.0,217.78,1.0,0.0,2.0,0.0,0.0,1.7379636249456547,30147.0,0.030147,301.47,1369.1838170877845,1380.4153842809528,300.0,90168.0,0.90168,90.168,2.0
74,50.0,1.0,1.0,1.0,9.0,10.0,2.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,17.0,217.78,13.261962681993609,25.0,25.0,0.0,0.0,1.7379636249456547,217708.0,0.217708,2177.08,1369.1838170877845,1380.4153842809528,1.0,651153.0,6.51153,651.153,50.0
76,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,21.0,217.78,13.261962681993609,20.0,20.0,0.0,0.0,1.7379636249456547,176156.0,0.176156,1761.56,1369.1838170877845,1380.4153842809528,1.0,526873.0,5.26873,526.873,40.0
77,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,2.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,21.0,217.78,3.05,20.0,20.0,0.0,0.0,1.7379636249456547,361922.0,0.361922,3619.22,1369.1838170877845,1380.4153842809528,1.5,1082489.0,10.82489,1082.489,40.0
79,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,33.0,217.78,6.05,30.0,25.0,0.0,0.0,1.7379636249456547,426273.0,0.426273,4262.73,1369.1838170877845,1380.4153842809528,2.0,1274959.0,12.74959,1274.959,55.0
82,50.0,1.0,1.0,1.0,9.0,10.0,2.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,42.0,217.78,4.0,0.0,0.0,0.0,0.0,1.7379636249456547,203138.0,0.203138,2031.38,1369.1838170877845,1380.4153842809528,1.0,607574.0,6.07574,607.574,0.0
84,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,50.0,217.78,4.0,0.0,0.0,0.0,0.0,1.7379636249456547,205866.0,0.205866,2058.66,1369.1838170877845,1380.4153842809528,1.0,615734.0,6.15734,615.734,0.0
85,50.0,1.0,1.0,1.0,9.0,10.0,2.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,54.0,217.78,5.0,6.0,50.0,0.0,0.0,1.7379636249456547,297090.0,0.29709,2970.9,1369.1838170877845,1380.4153842809528,1.0,888580.0,8.8858,888.58,56.0
86,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,58.0,217.78,4.0,0.0,0.0,0.0,0.0,1.7379636249456547,227323.0,0.227323,2273.23,1369.1838170877845,1380.4153842809528,1.0,679911.0,6.79911,679.911,1.0
88,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,62.0,217.78,5.0,0.0,0.0,0.0,0.0,1.7379636249456547,341656.0,0.341656,3416.56,1369.1838170877845,1380.4153842809528,1.5,1021874.0,10.21874,1021.874,1.0
89,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,8.0,1.0,0.0,62.0,217.78,0.5,0.0,0.0,0.0,0.0,1.7379636249456547,11872.0,0.011872,118.72,1369.1838170877845,1380.4153842809528,20.0,35508.0,0.35508,35.508,1.0
90,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,66.0,217.78,8.0,0.0,0.0,0.0,0.0,1.7379636249456547,257322.0,0.257322,2573.22,1369.1838170877845,1380.4153842809528,1.0,769636.0,7.69636,769.636,1.0
91,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,66.0,217.78,2.0,0.0,0.0,0.0,0.0,1.7379636249456547,43343.0,0.043343,433.43,1369.1838170877845,1380.4153842809528,2.0,129636.0,1.29636,129.636,1.0
92,50.0,1.0,1.0,1.0,9.0,10.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,70.0,217.78,4.0,0.0,0.0,0.0,0.0,1.7379636249456547,335740.0,0.33574,3357.4,1369.1838170877845,1380.4153842809528,1.5,1004181.0,10.04181,1004.181,1.0
93,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,74.0,217.78,0.005,0.0,0.0,0.0,0.0,1.7379636249456547,217958.0,0.217958,2179.58,1369.1838170877845,1380.4153842809528,1.0,651901.0,6.51901,651.901,1.0
95,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,89.0,217.78,8.0,0.0,0.0,0.0,0.0,1.7379636249456547,230807.0,0.230807,2308.07,1369.1838170877845,1380.4153842809528,1.0,690331.0,6.90331,690.331,1.0
97,50.0,1.0,1.0,1.0,9.0,10.0,1.0,1.0,1.0,7.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,89.0,217.78,4.0,0.0,0.0,0.0,0.0,1.7379636249456547,440508.0,0.440508,4405.08,1369.1838170877845,1380.4153842809528,1.75,1317535.0,13.17535,1317.535,1.0
98,50.0,1.0,1.0,1.0,9.0,10.0,2.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,93.0,217.78,5.0,0.0,0.0,0.0,0.0,1.7379636249456547,389153.0,0.389153,3891.53,1369.1838170877845,1380.4153842809528,1.5,1163936.0,11.63936,1163.936,1.0
99,50.0,1.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,2.0,306.25,2.5,0.0,0.0,0.0,0.0,1.9,297833.0,0.297833,2978.33,2801.55,2801.55,1.2,749884.0,7.49884,749.884,1.0
101,50.0,1.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,9.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,2.0,306.25,6.5,0.0,0.0,0.0,0.0,0.77,193428.0,0.193428,1934.28,1819.47,1819.47,1.0,487014.0,4.87014,487.014,1.0
102,50.0,1.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,11.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,2.0,306.25,5.075,0.0,0.0,0.0,0.0,2.1,108522.0,0.108522,1085.22,1020.81,1020.81,2.0,273237.0,2.73237,273.237,1.0
104,50.0,1.0,1.0,1.0,14.0,8.0,1.0,1.0,4.0,2.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,7.0,306.25,5.06,0.0,0.0,0.0,0.0,2.79,449304.0,0.449304,4493.04,4226.36,4226.36,2.0,1131259.0,11.31259,1131.259,0.0
105,50.0,1.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,12.0,306.25,6.075,0.0,0.0,0.0,0.0,1.25,427838.0,0.427838,4278.38,4032.93,4024.44,1.0,1077212.0,10.77212,1077.212,1.0
107,50.0,1.0,1.0,1.0,14.0,8.0,1.0,1.0,1.0,7.0,1.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,6.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,12.0,306.25,5.5,0.0,0.0,0.0,30.0,3.55,433089.0,0.433089,4330.89,4073.83,4073.83,1.0,1090433.0,10.90433,1090.433,31.0
