,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,"If natural fertilizer used, type",How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of MIXED fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
2137,50.0,1.0,2.0,2.0,2.0,7.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,5.0,1.0,0.0,22.0,287.76,1.12,3.0,0.0,6.0,0.0,0.3,17683.0,0.017683,176.83,181.25,176.83,30.0,8834.0,0.08834,8.834,9.0
2138,50.0,1.0,2.0,2.0,2.0,7.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,5.0,1.0,0.0,22.0,287.76,1.68,2.0,0.0,6.0,0.0,0.21,13409.0,0.013409,134.09,1369.1838170877845,134.09,15.0,6698.0,0.06698,6.698,8.0
2141,50.0,1.0,2.0,2.0,2.0,7.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,26.0,287.76,2.24,0.0,0.0,0.0,0.0,1.33,32796.0,0.032796,327.96,324.18,327.96,4.0,16383.0,0.16383,16.383,1.0
2142,50.0,1.0,2.0,2.0,2.0,7.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,26.0,287.76,1.12,0.0,0.0,0.0,0.0,1.47,14196.0,0.014196,141.96,130.52,141.96,1.0,7092.0,0.07092,7.092,1.0
2143,50.0,1.0,2.0,2.0,2.0,7.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,26.0,287.76,1.12,0.0,0.0,0.0,0.0,1.95,12992.0,0.012992,129.92,129.3,129.92,1.0,6489.0,0.06489,6.489,1.0
2146,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,30.0,287.76,2.8,0.0,0.0,2.0,0.0,1.21,7761.0,0.007761,77.61,77.81,77.61,15.0,3878.0,0.03878,3.878,3.0
2148,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,30.0,287.76,2.24,0.0,0.0,4.0,0.0,4.8,11132.0,0.011132,111.32,111.8,111.32,1.0,5560.0,0.0556,5.56,5.0
2155,50.0,1.0,2.0,2.0,2.0,7.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,34.0,287.76,2.24,0.0,0.0,2.0,0.0,1.64,40531.0,0.040531,405.31,439.54,405.31,0.5,20246.0,0.20246,20.246,2.0
2158,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,0.0,1.0,2.0,100.0,5.0,1.0,0.0,38.0,287.76,2.24,0.0,0.0,1.0,0.0,3.97,42977.0,0.042977,429.77,365.36,429.77,30.0,21468.0,0.21468,21.468,1.0
2168,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,42.0,287.76,1.12,0.0,0.0,0.0,0.0,4.24,9670.0,0.00967,96.7,63.2,96.7,30.0,4830.0,0.0483,4.83,1.0
2176,50.0,1.0,2.0,2.0,2.0,7.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,2.0,100.0,3.0,1.0,0.0,46.0,287.76,3.36,0.0,0.0,8.0,0.0,4.32,24352.0,0.024352,243.52,215.43,243.52,3.0,12165.0,0.12165,12.165,8.0
2188,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,55.0,287.76,1.59,0.0,0.0,0.0,0.0,0.9,16196.0,0.016196,161.96,172.65,161.96,1.0,8091.0,0.08091,8.091,1.0
2189,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,55.0,287.76,1.12,0.0,0.0,0.0,0.0,2.07,21696.0,0.021696,216.96,211.61,211.61,30.0,10838.0,0.10838,10.838,1.0
2190,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,55.0,287.76,1.68,0.0,0.0,0.0,0.0,2.21,19755.0,0.019755,197.55,239.27,197.55,30.0,9869.0,0.09869,9.869,1.0
2196,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,55.0,287.76,2.24,0.0,0.0,0.0,0.0,1.01,40017.0,0.040017,400.17,401.74,400.17,1.0,19989.0,0.19989,19.989,1.0
2214,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,59.0,287.76,0.56,0.0,0.0,0.0,0.0,1.21,7761.0,0.007761,77.61,77.81,77.61,15.0,3878.0,0.03878,3.878,1.0
2215,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,59.0,287.76,0.56,0.0,0.0,0.0,0.0,0.59,8215.0,0.008215,82.15,82.6,82.15,15.0,4104.0,0.04104,4.104,1.0
2216,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,59.0,287.76,0.56,0.0,0.0,0.0,0.0,4.37,12214.0,0.012214,122.14,111.49,122.14,30.0,6100.0,0.061,6.1,1.0
2217,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,59.0,287.76,0.56,0.0,0.0,0.0,0.0,0.88,18413.0,0.018413,184.13,184.76,184.13,40.0,9197.0,0.09197,9.197,1.0
2220,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,67.0,287.76,0.56,0.0,0.0,0.0,0.0,4.32,23744.0,0.023744,237.44,236.24,237.44,1.0,11860.0,0.1186,11.86,1.0
2245,50.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,2.0,100.0,5.0,1.0,0.0,3.0,319.39,1.7,0.0,0.0,0.0,0.0,1.79,22558.0,0.022558,225.58,225.58,225.58,25.0,52467.0,0.52467,52.467,4.0
2246,50.0,1.0,2.0,2.0,6.0,1.0,1.0,2.0,1.0,7.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,2.0,75.0,5.0,1.0,0.0,3.0,319.39,1.125,0.0,0.0,0.0,0.0,0.48,7727.0,0.007727,77.27,77.27,77.27,25.0,17972.0,0.17972,17.972,4.0
2252,50.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,8.0,319.39,2.0,0.0,0.0,0.0,0.0,2.61,7981.0,0.007981,79.81,79.81,79.81,15.0,18563.0,0.18563,18.563,1.0
2257,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,13.0,319.39,4.0,0.0,0.0,0.0,0.0,0.76,9296.0,0.009296,92.96,92.96,92.96,15.0,21621.0,0.21621,21.621,1.0
2284,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,23.0,319.39,4.5,0.0,0.0,0.0,0.0,0.64,7730.0,0.00773,77.3,77.3,77.3,10.0,17980.0,0.1798,17.98,1.0
2286,50.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,28.0,319.39,4.0,0.0,0.0,0.0,0.0,0.45,23943.0,0.023943,239.43,239.43,239.43,0.15,55689.0,0.55689,55.689,1.0
2288,50.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,28.0,319.39,1.7,0.0,0.0,0.0,0.0,0.47,10953.0,0.010953,109.53,104.81,104.81,0.3,25476.0,0.25476,25.476,1.0
2298,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,35.0,319.39,3.5,0.0,0.0,0.0,0.0,0.5,18321.0,0.018321,183.21,183.21,183.21,30.0,42612.0,0.42612,42.612,1.0
2299,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,35.0,319.39,3.0,0.0,0.0,0.0,0.0,0.67,16547.0,0.016547,165.47,165.47,165.47,25.0,38486.0,0.38486,38.486,1.0
2303,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,5.0,1.0,0.0,40.0,319.39,4.0,1.0,0.0,1.0,0.0,0.78,14681.0,0.014681,146.81,146.81,146.81,0.3,34147.0,0.34147,34.147,2.0
2307,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,3.0,1.0,0.0,40.0,319.39,4.0,2.0,0.0,2.0,0.0,1.24,13889.0,0.013889,138.89,138.89,138.89,1.0,32305.0,0.32305,32.305,4.0
2330,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,67.0,1.0,1.0,0.0,60.0,319.39,13.261962681993609,7.0,0.0,7.0,0.0,2.44,53686.0,0.053686,536.86,536.86,536.86,0.5,124868.0,1.24868,124.868,15.0
2349,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,76.0,319.39,4.0,0.0,0.0,0.0,0.0,1.66,17878.0,0.017878,178.78,178.78,178.78,20.0,41582.0,0.41582,41.582,1.0
2352,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,81.0,319.39,0.25,1.0,0.0,1.0,0.0,1.9,14305.0,0.014305,143.05,143.05,143.05,0.3,33271.0,0.33271,33.271,3.0
2353,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,81.0,319.39,2.55,1.0,0.0,1.0,0.0,0.99,19865.0,0.019865,198.65,198.65,198.65,30.0,46204.0,0.46204,46.204,3.0
2354,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,81.0,319.39,3.4,3.0,0.0,3.0,0.0,1.05,54145.0,0.054145,541.45,541.45,541.45,0.5,125935.0,1.25935,125.935,7.0
2355,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,81.0,319.39,2.55,2.0,0.0,2.0,0.0,1.51,37786.0,0.037786,377.86,377.86,377.86,3.0,87886.0,0.87886,87.886,5.0
2357,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,81.0,319.39,0.85,1.0,0.0,1.0,0.0,3.15,11926.0,0.011926,119.26,119.26,119.26,30.0,27739.0,0.27739,27.739,3.0
2364,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,81.0,319.39,0.85,1.0,0.0,1.0,0.0,3.73,10287.0,0.010287,102.87,102.87,102.87,20.0,23927.0,0.23927,23.927,3.0
2378,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,86.0,319.39,4.0,0.0,0.0,0.0,0.0,0.2,12175.0,0.012175,121.75,121.75,121.75,20.0,28318.0,0.28318,28.318,1.0
2388,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,5.0,1.0,0.0,91.0,319.39,6.0,1.5,0.0,1.5,0.0,1.1,25107.0,0.025107,251.07,251.07,251.07,30.0,58395.0,0.58395,58.395,3.0
2421,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,2.0,1.0,2.0,100.0,3.0,1.0,0.0,77.0,184.17,3.2,3.34,0.0,5.0,0.0,3.03,21483.0,0.021483,214.83,229.19,214.83,1.3,13414.0,0.13414,13.414,10.34
2439,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,28.0,326.08,2.2,5.0,0.0,0.0,0.0,1.7379636249456547,31601.0,0.031601,316.01,1369.1838170877845,1380.4153842809528,0.12,18251.0,0.18251,18.251,6.0
