,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,Common way of prevention,Seed / Seedling Type,Was crop damaged?,Prevension/precaution measure taken?,Type of measure,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used  in  Meher (main) season?,What was the previous state of the field?,LANDUSE,Household Id,Sampling Weight,Quantity of indigenous seeds used,Quantity of chemical fertilizer used,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
40,1.0,1.0,1.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,27.0,272.26,13.68,0.0,1178.8,220.44000000000003,0.0
42,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,39.0,272.26,4.26,0.0,757.4200000000001,141.64000000000001,0.0
44,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,45.0,272.26,7.08,0.0,739.31,138.25,0.0
45,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,45.0,272.26,7.08,0.0,877.68,164.13,0.0
46,1.0,1.0,1.0,7.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,45.0,272.26,8.85,0.0,2407.87,450.27,0.0
47,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,57.0,272.26,6.36,0.0,2867.29,536.18,0.0
49,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,57.0,272.26,4.02,0.0,2935.97,549.0300000000001,0.0
51,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,63.0,272.26,2.28,0.0,212.74,39.78,0.0
52,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,63.0,272.26,4.38,0.0,767.96,143.60999999999999,0.0
53,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,7.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,63.0,272.26,42.55816841186024,0.0,408.84999999999997,76.46,0.0
57,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,75.0,272.26,9.44,0.0,2558.87,478.51,0.0
58,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,75.0,272.26,10.03,0.0,2095.58,391.87,0.0
59,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,2.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,75.0,272.26,3.99,8.199,912.98,170.73000000000002,8.199
62,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,81.0,272.26,14.4,0.0,5963.2300000000005,1115.12,0.0
64,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,93.0,272.26,4.56,0.0,2148.94,401.85,0.0
65,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,93.0,272.26,6.84,0.0,3133.32,585.9300000000001,0.0
66,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,93.0,272.26,6.12,0.0,484.84,90.67,0.0
68,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,99.0,272.26,11.56,0.0,5709.82,1067.74,0.0
69,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,99.0,272.26,8.55,0.0,1523.0,284.8,0.0
71,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,117.0,272.26,7.56,0.0,3372.83,630.72,0.0
73,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,129.0,272.26,11.41,0.0,2477.1099999999997,463.22,0.0
74,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,129.0,272.26,6.88,0.0,1835.72,343.28,0.0
75,1.0,1.0,1.0,7.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,129.0,272.26,14.25,0.0,2003.81,374.71000000000004,0.0
77,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,135.0,272.26,11.71,0.0,1269.32,237.36,0.0
78,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,135.0,272.26,13.44,16.399,1272.45,237.95000000000002,16.399
79,1.0,1.0,1.0,7.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,135.0,272.26,6.84,8.199,541.49,101.25999999999999,8.199
81,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,147.0,272.26,16.84,0.0,4042.87,756.02,0.0
82,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,7.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,147.0,272.26,17.84,0.0,5450.43,1019.2299999999999,0.0
83,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,147.0,272.26,12.98,0.0,3573.2999999999997,668.21,0.0
84,1.0,1.0,1.0,7.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,147.0,272.26,10.26,0.0,804.64,150.47,0.0
85,1.0,1.0,1.0,7.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,147.0,272.26,9.69,0.0,751.11,140.46,0.0
87,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,153.0,272.26,18.45,0.0,4601.45,860.4699999999999,0.0
88,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,153.0,272.26,8.16,0.0,148.26000000000002,27.73,0.0
89,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,165.0,272.26,10.13,0.0,1561.28,291.96,0.0
90,1.0,1.0,1.0,7.0,2.0,2.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,165.0,272.26,10.84,0.0,4254.94,795.67,0.0
91,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,171.0,272.26,12.25,0.0,2907.48,543.7,0.0
93,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,171.0,272.26,21.05,0.0,2557.26,478.21,0.0
95,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,183.0,272.26,16.8,10.249,5519.02,1032.0600000000002,10.249
96,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,183.0,272.26,42.55816841186024,0.683,581.42,108.72999999999999,0.683
97,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,183.0,272.26,8.7,19.132,2765.4,517.13,19.132
99,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,7.0,272.26,4.2,0.0,929.39,207.24999999999997,0.0
100,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,19.0,272.26,14.0,6.134,3141.3,700.51,6.134
102,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,25.0,272.26,2.1,0.0,457.5,102.02,0.0
104,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,40.0,272.26,4.2,0.0,1352.5200000000002,301.60999999999996,0.0
105,1.0,1.0,1.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,40.0,272.26,14.0,0.0,3829.38,853.95,0.0
107,1.0,1.0,1.0,13.0,2.0,2.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,46.0,272.26,4.2,0.0,1223.75,272.90000000000003,0.0
108,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,58.0,272.26,1.4,0.0,405.53,90.42999999999999,0.0
110,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,58.0,272.26,14.0,0.0,4979.73,1110.48,0.0
111,1.0,1.0,1.0,13.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,58.0,272.26,25.2,38.823,5521.099999999999,1231.2099999999998,38.823
113,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,64.0,272.26,16.8,0.0,4039.72,900.8599999999999,0.0
114,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,64.0,272.26,5.6,6.134,1337.57,298.28000000000003,6.134
115,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,78.0,272.26,4.2,3.68,2926.4,652.59,3.68
117,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,84.0,272.26,8.4,8.37,3188.99,711.1500000000001,8.37
118,1.0,1.0,1.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,84.0,272.26,16.8,19.411,3647.84,813.47,19.411
120,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,97.0,272.26,8.4,0.0,2323.96,518.24,0.0
121,1.0,1.0,1.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,97.0,272.26,16.8,15.529,5474.7,1220.8600000000001,15.529
123,1.0,1.0,1.0,13.0,2.0,2.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,103.0,272.26,5.6,0.0,3352.7200000000003,747.6600000000001,0.0
124,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,115.0,272.26,5.6,7.361,581.76,129.73,7.361
125,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,115.0,272.26,16.8,12.268,5773.110000000001,1287.4,12.268
127,1.0,1.0,1.0,13.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,122.0,272.26,5.6,11.041,3757.41,837.9,11.041
129,1.0,1.0,1.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,135.0,272.26,6.3,19.411,1877.11,418.6,19.411
131,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,154.0,272.26,2.1,0.0,1271.95,283.65,0.0
134,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,172.0,272.26,2.8,4.907,1188.8899999999999,265.12,4.907
135,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,179.0,272.26,2.8,0.0,1053.29,234.88000000000002,0.0
137,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,191.0,272.26,5.6,0.0,2955.9800000000005,659.1800000000001,0.0
138,1.0,1.0,1.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,191.0,272.26,12.6,12.268,3743.2900000000004,834.75,12.268
140,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,272.26,8.64,7.462,2109.26,455.6,7.462
141,1.0,1.0,1.0,16.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,272.26,12.96,0.0,4201.849999999999,907.6,0.0
142,1.0,1.0,1.0,16.0,1.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,272.26,12.96,0.0,5461.03,1179.58,0.0
144,1.0,1.0,1.0,16.0,1.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,25.0,272.26,14.4,13.052,4249.91,917.98,13.052
145,1.0,1.0,1.0,16.0,1.0,2.0,1.0,1.0,9.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,25.0,272.26,3.6,5.528,3892.76,840.84,5.528
147,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,33.0,272.26,12.96,0.0,5398.389999999999,1166.0500000000002,0.0
148,1.0,1.0,1.0,16.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,33.0,272.26,5.76,17.338,2284.1800000000003,493.38,17.338
150,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,45.0,272.26,21.6,19.349,5029.03,1086.27,19.349
151,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,10.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,45.0,272.26,2.16,0.0,1494.3999999999999,322.79,0.0
153,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,11.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,49.0,272.26,42.55816841186024,0.0,767.83,165.85000000000002,0.0
155,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,57.0,272.26,2.32,0.0,1172.7,253.29999999999998,0.0
156,1.0,1.0,1.0,16.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,57.0,272.26,3.6,3.455,1319.03,284.90999999999997,3.455
157,1.0,1.0,1.0,16.0,1.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,57.0,272.26,10.8,10.327,3304.1,713.6899999999999,10.327
159,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,4.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,61.0,272.26,10.08,0.0,4794.74,1035.66,0.0
160,1.0,1.0,1.0,16.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,69.0,272.26,4.48,8.883,1791.5700000000002,386.98,8.883
162,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,99.0,272.26,10.08,20.731,3015.9799999999996,651.45,20.731
164,1.0,1.0,1.0,16.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,99.0,272.26,42.55816841186024,8.293,4728.85,1021.43,8.293
166,1.0,1.0,1.0,16.0,1.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,125.0,272.26,1.44,0.0,490.42,105.92999999999999,0.0
168,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,150.0,272.26,2.088,0.0,918.51,198.4,0.0
169,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,150.0,272.26,5.76,0.0,1122.03,242.35999999999999,0.0
171,1.0,1.0,1.0,16.0,1.0,1.0,1.0,2.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,154.0,272.26,11.52,0.0,5260.37,1136.24,0.0
175,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,166.0,272.26,17.28,8.293,5492.160000000001,1186.31,8.293
177,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,8.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,175.0,272.26,3.16,0.0,1041.75,225.02,0.0
178,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,9.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,175.0,272.26,0.36,0.0,82.19000000000001,17.75,0.0
