,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,Common way of prevention,Seed / Seedling Type,Was crop damaged?,Prevention/precaution measure taken?,Type of measure,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used  in  Meher (main) season?,What was the previous state of the field?,APERCENT,LANDUSE,Household Id,Sampling Weight,Quantity of indigenous seeds used,Quantity of UREA chemical fertilizer used,Quantity of DAP chemical fertilizer used,Quantity of Both UREA and DAP chemical fertilizer used,CERROR,AREB,Enumerator Area,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
2005,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,5.0,350.88,26.37,0.0,0.0,10.0,0.39,107333.0,1073.33,1073.33,236.133,10.0
2006,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,5.0,350.88,3.35,0.0,0.0,0.0,0.52,25936.0,259.36,259.36,57.059,0.0
2007,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,5.0,350.88,10.37,0.0,0.0,10.0,4.32,72466.0,727.07,724.66,159.425,10.0
2008,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,5.0,350.88,4.35,0.0,0.0,8.0,2.54,13667.0,136.67,136.67,30.067,8.0
2012,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,19.0,350.88,14.35,0.0,0.0,16.0,3.47,52946.0,529.46,529.46,116.481,16.0
2016,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,8.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,19.0,350.88,10.37,0.0,0.0,8.0,2.17,44381.0,443.81,443.81,97.638,8.0
2017,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,9.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,19.0,350.88,5.25,0.0,0.0,5.0,0.56,23371.0,233.71,233.71,51.416,5.0
2020,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,8.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,26.0,350.88,3.5,0.0,0.0,0.0,2.85,30222.0,301.7,302.22,66.488,0.0
2021,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,9.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,26.0,350.88,3.25,0.0,0.0,0.0,1.7,16780.0,167.88,167.8,36.916,0.0
2030,50.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,38.0,350.88,3.25,0.0,0.0,0.0,3.49,33238.0,332.38,332.38,73.124,0.0
2031,50.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,38.0,350.88,20.3,0.0,0.0,25.0,1.86,117965.0,1179.65,1179.65,259.523,25.0
2042,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,62.0,350.88,5.37,0.0,0.0,0.0,2.85,24002.0,240.02,240.02,52.804,0.0
2044,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,3.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,50.0,1.0,62.0,350.88,4.25,0.0,0.0,20.0,1.02,20671.0,206.71,206.71,45.476,20.0
2046,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,5.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,62.0,350.88,20.5,0.0,0.0,10.0,1.02,198060.0,1978.81,1980.6,435.732,10.0
2049,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,74.0,350.88,2.25,0.0,0.0,3.0,1.23,27971.0,279.71,279.71,61.536,3.0
2053,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,80.0,350.88,1.27,0.0,0.0,1.0,2.23,21036.0,210.36,210.36,46.279,1.0
2055,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,3.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,50.0,1.0,80.0,350.88,15.12,0.0,0.0,15.0,1.8,48158.0,481.58,481.58,105.948,15.0
2062,50.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,98.0,350.88,15.25,0.0,0.0,15.0,2.54,85017.0,850.17,850.17,187.037,15.0
2063,50.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,98.0,350.88,10.37,0.0,0.0,10.08,2.48,82617.0,826.17,826.17,181.757,10.08
2065,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,5.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,111.0,350.88,10.2,0.0,0.0,5.0,1.15,47220.0,472.2,472.2,103.884,5.0
2068,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,4.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,50.0,1.0,111.0,350.88,7.75,0.0,0.0,15.0,2.07,12637.0,126.37,126.37,27.801,15.0
2073,50.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,1.0,4.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,1.0,130.0,350.88,5.75,0.0,0.0,18.0,2.45,28669.0,286.69,286.69,63.072,18.0
2077,50.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,137.0,350.88,10.37,0.0,0.0,9.98,0.41,52261.0,522.61,522.61,114.974,9.98
2080,50.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,149.0,350.88,8.25,0.0,0.0,0.0,1.1,66401.0,664.01,664.01,146.082,0.0
2084,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,155.0,350.88,10.35,0.0,0.0,5.0,3.23,57514.0,575.14,575.14,126.531,5.0
2089,50.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,169.0,350.88,20.35,0.0,0.0,8.0,1.63,146973.0,1472.46,1469.73,323.341,8.0
2094,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,189.0,350.88,2.25,0.0,0.0,10.0,2.83,13245.0,132.45,132.45,29.139,10.0
2095,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,3.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,95.0,1.0,3.0,370.79,18.25,0.0,0.0,0.0,0.62,50779.0,507.79,507.79,119.838,0.0
2096,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,5.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,75.0,1.0,3.0,370.79,38.4,0.0,0.0,0.0,0.64,151048.0,1510.48,1510.48,356.473,0.0
2097,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,80.0,1.0,3.0,370.79,10.85,0.0,0.0,0.0,0.29,61055.0,610.55,610.55,144.09,0.0
2098,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,3.0,370.79,4.76,0.0,0.0,0.0,0.61,26149.0,261.54,261.49,61.712,0.0
2100,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,7.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,80.0,1.0,11.0,370.79,22.63,0.0,0.0,0.0,0.32,46074.0,460.74,460.74,108.735,0.0
2101,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,8.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,11.0,370.79,5.84,0.0,0.0,0.0,0.93,19814.0,198.14,198.14,46.761,0.0
2104,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,12.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,11.0,370.79,6.57,0.0,0.0,0.0,1.1,10681.0,106.81,106.81,25.207,0.0
2106,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,11.0,370.79,28.47,0.0,0.0,0.0,0.94,75718.0,757.18,757.18,178.694,0.0
2109,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,2.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,15.0,370.79,5.84,0.0,0.0,0.0,2.29,20547.0,205.47,205.47,48.491,0.0
2110,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,2.0,2.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,15.0,370.79,24.09,0.0,0.0,0.0,0.8,190315.0,1903.15,1903.15,449.143,0.0
2113,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,5.0,4.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,90.0,1.0,15.0,370.79,36.5,0.0,0.0,0.0,0.1,96029.0,960.29,960.29,226.628,0.0
2114,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,5.0,5.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,75.0,1.0,15.0,370.79,40.88,0.0,0.0,0.0,0.42,85465.0,854.65,854.65,201.697,0.0
2117,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,80.0,1.0,24.0,370.79,13.14,0.0,0.0,0.0,1.54,28318.0,283.18,283.18,66.83,0.0
2118,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,90.0,1.0,24.0,370.79,6.57,0.0,0.0,0.0,0.84,15908.0,159.08,159.08,37.543,0.0
2120,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,8.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,75.0,1.0,24.0,370.79,25.55,0.0,0.0,0.0,2.75,69618.0,696.18,696.18,164.298,0.0
2127,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,7.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,24.0,370.79,18.12,0.0,0.0,0.0,0.52,115890.0,1158.9,1158.9,273.5,0.0
2132,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,29.0,370.79,9.74,0.0,0.0,0.0,1.58,70798.0,707.98,707.98,167.083,0.0
2133,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,29.0,370.79,8.03,0.0,0.0,0.0,1.37,34156.0,341.56,341.56,80.608,0.0
2134,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,2.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,29.0,370.79,8.76,0.0,0.0,0.0,0.68,37317.0,373.17,373.17,88.068,0.0
2135,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,3.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,29.0,370.79,9.49,0.0,0.0,0.0,0.32,38569.0,385.69,385.69,91.023,0.0
2140,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,5.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,38.0,370.79,8.14,0.0,0.0,0.0,0.99,43678.0,436.78,436.78,103.08,0.0
2141,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,5.0,2.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,38.0,370.79,3.65,0.0,0.0,0.0,0.68,14887.0,148.87,148.87,35.133,0.0
2142,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,5.0,3.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,38.0,370.79,7.95,0.0,0.0,0.0,1.49,39284.0,392.84,392.84,92.71,0.0
2143,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,5.0,4.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,38.0,370.79,4.38,0.0,0.0,0.0,1.39,25419.0,254.19,254.19,59.989,0.0
2144,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,5.0,5.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,38.0,370.79,7.03,0.0,0.0,0.0,3.05,36144.0,361.44,361.44,85.3,0.0
2146,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,75.0,1.0,42.0,370.79,21.77,0.0,0.0,0.0,3.42,76238.0,762.38,762.38,179.922,0.0
2149,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,42.0,370.79,18.25,0.0,0.0,0.0,4.23,110676.0,1106.76,1106.76,261.195,0.0
2150,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,42.0,370.79,25.5,0.0,0.0,0.0,0.64,122949.0,1229.49,1229.49,290.16,0.0
2157,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,50.0,370.79,28.15,0.0,0.0,0.0,0.24,160966.0,1609.66,1609.66,379.88,0.0
2158,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,50.0,370.79,3.38,0.0,0.0,0.0,1.72,11339.0,1185.3746742546282,113.39,26.76,0.0
2159,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,3.0,2.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,50.0,370.79,11.17,0.0,0.0,0.0,0.65,69384.0,693.84,693.84,163.746,0.0
2160,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,50.0,370.79,21.85,0.0,0.0,0.0,1.14,100342.0,1003.42,1003.42,236.807,0.0
2161,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,4.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,50.0,370.79,15.09,0.0,0.0,0.0,0.83,97178.0,971.78,971.78,229.34,0.0
2163,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,80.0,1.0,54.0,370.79,26.04,0.0,0.0,0.0,0.5,107102.0,1071.02,1071.02,252.761,0.0
2164,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,54.0,370.79,8.95,0.0,0.0,0.0,0.5,38895.0,388.95,388.95,91.792,0.0
2166,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,3.0,2.0,8.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,90.0,1.0,64.0,370.79,0.73,0.0,0.0,0.0,1.23,8511.0,85.11,85.11,20.086,0.0
2167,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,6.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,64.0,370.79,0.73,0.0,0.0,0.0,1.19,8359.0,83.59,83.59,19.727,0.0
2168,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,7.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,64.0,370.79,7.95,0.0,0.0,0.0,0.47,44032.0,440.32,440.32,103.916,0.0
2170,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,10.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,64.0,370.79,3.65,0.0,0.0,0.0,0.57,13012.0,130.12,130.12,30.708,0.0
2171,50.0,1.0,2.0,2.0,17.0,3.0,2.0,1.0,1.0,11.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,64.0,370.79,11.17,0.0,0.0,0.0,0.7,81259.0,812.59,812.59,191.771,0.0
2173,50.0,1.0,2.0,2.0,17.0,3.0,1.0,1.0,2.0,10.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,68.0,370.79,5.22,0.0,0.0,0.0,1.01,22260.0,222.6,222.6,52.534,0.0
