,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Part,Field Type,CROP,Owner type,Extension,Irrigation Used,Soil Erosion,Measure taken to soil erosion,Seed Type,Any Damage?,Any Measure to Prevent Damage,Type of Damage Prevention,Fertilizer Used,How many times do you produce crops,What was the field used for?,Percent of Field in Use,Land Utilization,Household Id,Sampling Weight,Weight of Non-improved Seed,Closure Error,Enumerator Area in sqm,Computed Area in sqm,Area in Square meter,Production Of Condition in Kg
2608,1.0,2.0,2.0,5.0,4.0,1.0,1.0,9.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,86.0,345.46,0.78,1.71,179.27,177.65,179.26999999999998,283.25
2618,1.0,2.0,2.0,5.0,4.0,1.0,1.0,6.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,98.0,345.46,8.0,0.57,157.1,157.1,157.1,248.22000000000003
2619,1.0,2.0,2.0,5.0,4.0,1.0,1.0,7.0,1.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,98.0,345.46,24.06,1.18,244.31,244.31,244.31,386.01
2622,1.0,2.0,2.0,5.0,4.0,1.0,1.0,7.0,4.0,2.0,2.0,8.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,98.0,345.46,12.24,3.61,199.62,199.62,199.62,315.4
2625,1.0,2.0,2.0,5.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,8.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,50.0,1.0,102.0,345.46,10.76,1.66,276.19,276.19,276.19,436.38000000000005
2631,1.0,2.0,2.0,5.0,4.0,1.0,1.0,11.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,102.0,345.46,1.8,2.27,190.45,190.45,190.45,300.91
2637,1.0,2.0,2.0,5.0,4.0,2.0,1.0,8.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,50.0,1.0,110.0,345.46,9.62,3.14,115.52,115.52,115.52,182.51999999999998
2649,1.0,2.0,2.0,5.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,8.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,122.0,345.46,3.24,4.17,312.56,312.56,312.56,493.84
2652,1.0,2.0,2.0,9.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,1.0,443.21,18.4,0.77,186.43,186.43,186.43,296.42
2653,1.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,100.0,1.0,11.0,443.21,6.4,3.74,1337.15,1337.15,1337.15,2126.07
2663,1.0,2.0,2.0,9.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,26.0,443.21,12.0,3.41,587.06,587.06,587.0600000000001,933.4300000000001
2675,1.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,47.0,443.21,3.2,1.99,374.64,374.64,374.64,595.6800000000001
2678,1.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,57.0,443.21,4.08,1.65,744.03,741.98,744.03,1183.01
2688,1.0,2.0,2.0,9.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,77.0,443.21,4.8,1.46,657.84,657.84,657.8399999999999,1045.97
2695,1.0,2.0,2.0,9.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,87.0,443.21,17.6,2.22,1599.88,1599.88,1599.8799999999999,2543.81
2697,1.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,100.0,1.0,92.0,443.21,28.0,0.56,1098.33,1098.33,1098.33,1746.34
2710,1.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,132.0,443.21,8.3,3.74,441.97,441.97,441.97,702.73
2713,1.0,2.0,2.0,9.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,100.0,1.0,137.0,443.21,20.0,1.58,731.83,731.83,731.8299999999999,1163.6100000000001
2715,1.0,2.0,2.0,9.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,100.0,1.0,137.0,443.21,9.6,1.85,847.32,847.32,847.32,1347.24
2718,1.0,2.0,2.0,9.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,100.0,1.0,147.0,443.21,42.5,1.92,973.23,973.23,973.23,1547.4399999999998
2733,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,3.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,28.0,345.22,2.4,1.62,431.44,445.78,431.44,703.25
2735,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,4.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,28.0,345.22,2.8,0.55,149.21,149.21,149.21,243.21
2737,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,5.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,28.0,345.22,2.0,1.48,171.77,171.77,171.77,279.99
2739,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,6.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,28.0,345.22,1.6,1.23,88.49,88.49,88.49,144.23999999999998
2748,1.0,2.0,2.0,13.0,7.0,1.0,1.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,33.0,345.22,4.8,0.67,1189.24,1189.24,1189.24,1938.4599999999998
2764,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,4.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,58.0,345.22,4.0,0.65,48.27,448.63,448.63,731.2700000000001
2766,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,5.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,58.0,345.22,4.0,0.67,227.95,227.95,227.95,371.56
2778,1.0,2.0,2.0,13.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,63.0,345.22,6.4,0.28,860.78,860.78,860.78,1403.07
2787,1.0,2.0,2.0,13.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,78.0,345.22,4.8,0.7,621.35,621.35,621.35,1012.8
2788,1.0,2.0,2.0,13.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,78.0,345.22,2.4,0.37,102.48,102.48,102.48,167.04000000000002
2794,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,88.0,345.22,3.2,0.17,341.69,341.69,341.69,556.9499999999999
2803,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,93.0,345.22,3.2,0.69,526.3,526.3,526.3000000000001,857.87
2804,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,6.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,93.0,345.22,2.4,0.99,204.46,204.46,204.45999999999998,333.27
2806,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,10.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,93.0,345.22,1.6,1.07,123.96,123.96,123.96000000000001,202.05
2820,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,17.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,103.0,345.22,0.8,0.37,356.4,356.4,356.4,580.9300000000001
2821,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,18.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,103.0,345.22,0.41,1.04,231.33,231.33,231.33,377.07
2822,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,20.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,103.0,345.22,1.6,0.83,221.62,221.62,221.62,361.24
2823,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,22.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,103.0,345.22,2.4,2.81,466.58,466.58,466.58,760.53
2824,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,23.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,103.0,345.22,1.68,2.48,173.91,173.91,173.91,283.47
2825,1.0,2.0,2.0,13.0,7.0,1.0,1.0,1.0,24.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,103.0,345.22,1.23,0.12,141.31,141.31,141.31,230.33999999999997
2833,1.0,2.0,2.0,13.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,108.0,345.22,1.6,0.75,114.72,114.72,114.72,186.98999999999998
2835,1.0,2.0,2.0,13.0,7.0,2.0,1.0,1.0,3.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,119.0,345.22,1.2,0.39,180.16,180.16,180.16,293.65999999999997
2838,1.0,2.0,2.0,13.0,7.0,2.0,1.0,1.0,5.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,119.0,345.22,1.6,0.13,247.97,247.97,247.97,404.19
2869,1.0,2.0,2.0,17.0,5.0,2.0,1.0,4.0,1.0,1.0,1.0,8.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,1.0,345.43,14.2,0.9,2626.19,2626.19,2626.19,4412.0
2875,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,100.0,1.0,9.0,345.43,2.8,4.2,308.2,308.2,308.2,517.7800000000001
2876,1.0,2.0,2.0,17.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,8.0,3.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,9.0,345.43,2.8,1.02,445.55,445.55,445.54999999999995,748.52
2881,1.0,2.0,2.0,17.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,100.0,1.0,13.0,345.43,17.5,1.21,1525.87,1525.87,1525.87,2563.46
2892,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,33.0,345.43,28.6,2.04,1354.23,1354.23,1354.2299999999998,2275.11
2897,1.0,2.0,2.0,17.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,33.0,345.43,49.6,2.6,2784.97,1399.5118858181268,2784.97,4678.75
2899,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,37.0,345.43,11.865777618481049,0.66,1513.25,1513.25,1513.2499999999998,2542.2599999999998
2901,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,37.0,345.43,2.88,1.61,577.59,577.59,577.59,970.35
2903,1.0,2.0,2.0,17.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,37.0,345.43,3.56,1.2,540.25,540.25,540.25,907.62
2909,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,80.0,1.0,51.0,345.43,49.68,2.25,2745.5,2745.5,2745.5,4612.4400000000005
2914,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,59.0,345.43,20.46,1.94,497.35,497.35,497.35,835.55
2915,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,71.0,345.43,14.7,0.85,884.39,870.58,884.39,1485.78
2918,1.0,2.0,2.0,17.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,71.0,345.43,42.6,1.78,1377.52,1377.52,1377.5200000000002,2314.23
2919,1.0,2.0,2.0,17.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,71.0,345.43,2.1,1.2,171.35,171.35,171.35000000000002,287.87
2923,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,75.0,345.43,7.7,1.41,200.41,200.41,200.41,336.69
2926,1.0,2.0,2.0,17.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,75.0,345.43,20.0,1.7221418379631694,1408.2201933598978,1399.5118858181268,1046.9199999999998,1758.83
2932,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,87.0,345.43,28.6,1.22,1907.2,1907.2,1907.2,3204.0999999999995
2938,1.0,2.0,2.0,17.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,95.0,345.43,29.0,0.21,1274.44,1274.41,1274.44,2141.06
2943,1.0,2.0,2.0,17.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,107.0,345.43,14.0,0.97,555.48,555.48,555.48,933.21
2944,1.0,2.0,2.0,17.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,111.0,345.43,5.12,1.01,1058.49,1058.49,1058.49,1778.2599999999998
2947,1.0,2.0,2.0,17.0,5.0,1.0,1.0,5.0,1.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,80.0,1.0,111.0,345.43,3.2,2.13,393.26,393.26,393.26,660.68
2951,1.0,2.0,2.0,17.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,119.0,345.43,15.88,0.5,1217.59,1217.58,1217.5900000000001,2045.5500000000002
2960,1.0,2.0,2.0,22.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,4.0,368.9,25.0,0.5,1072.16,1072.16,1072.16,1887.0
2962,1.0,2.0,2.0,22.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,4.0,368.9,23.7,1.93,988.49,988.49,988.49,1739.74
2966,1.0,2.0,2.0,22.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,14.0,368.9,3.0,1.49,83.78,83.78,83.78,147.45
2971,1.0,2.0,2.0,22.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,14.0,368.9,28.15,0.72,1499.6,1499.6,1499.6000000000001,2639.3
2972,1.0,2.0,2.0,22.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,100.0,1.0,19.0,368.9,2.0,0.76,239.19,239.19,239.19,420.96999999999997
2973,1.0,2.0,2.0,22.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,100.0,1.0,19.0,368.9,1.6,1.82,125.7,125.7,125.7,221.23
2974,1.0,2.0,2.0,22.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,100.0,1.0,19.0,368.9,1.5,3.12,115.85,115.85,115.85,203.9
2977,1.0,2.0,2.0,22.0,3.0,2.0,1.0,1.0,5.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,80.0,1.0,29.0,368.9,7.0,1.3,507.43,507.43,507.43,893.0799999999999
2981,1.0,2.0,2.0,22.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,29.0,368.9,5.07,1.54,164.04,164.04,164.04,288.71000000000004
2985,1.0,2.0,2.0,22.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,34.0,368.9,8.95,0.55,534.21,534.21,534.21,940.21
2986,1.0,2.0,2.0,22.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,34.0,368.9,4.45,1.1,143.52,143.52,143.52,252.59999999999997
2991,1.0,2.0,2.0,22.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,44.0,368.9,9.6,3.92,586.1,586.1,586.1,1031.54
2992,1.0,2.0,2.0,22.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,44.0,368.9,10.35,2.05,610.86,610.86,610.86,1075.11
2993,1.0,2.0,2.0,22.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,44.0,368.9,12.25,0.37,835.02,835.02,835.0200000000001,1469.64
2995,1.0,2.0,2.0,22.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,75.0,1.0,44.0,368.9,18.47,1.88,574.11,574.11,574.11,1010.4300000000001
