,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of UREA fertilizer used, if both DAP and UREA are used","Quantity of DAP fertilizer used, if both DAP and UREA are used",Quantity of NPS fertilizer used,Quantity of UREA IF both UREA and NPS are used,Quantity of NPS IF both UREA and NPS are used,Quantity of OTHER fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
19,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,101.0,679.88,16.68,0.0,9.48,0.0,0.0,0.0,0.0,0.0,0.0,1.8,444422.0,0.444422,4444.22,5028.2,5044.52,2.0,1264595.0,12.64595,1264.595,9.48
20,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,101.0,679.88,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,520825.0,0.520825,5208.25,5911.75,5911.75,2.0,1481998.0,14.81998,1481.998,0.0
24,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,123.0,679.88,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,18973.0,0.018973,189.73,215.36,215.36,0.25,53987.0,0.53987,53.987,0.0
25,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,123.0,679.88,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,53278.0,0.053278,532.78,604.74,604.74,2.0,151602.0,1.51602,151.602,0.0
27,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,123.0,679.88,10.39,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,183482.0,0.183482,1834.82,2082.66,2082.66,2.0,522095.0,5.22095,522.095,19.0
29,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,142.0,679.88,25.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.61,426781.0,0.426781,4267.81,1225.9174993184465,4844.28,2.0,1214399.0,12.14399,1214.399,0.0
33,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,161.0,679.88,25.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,282967.0,0.282967,2829.67,1225.9174993184465,3211.88,4.0,805178.0,8.05178,805.178,0.0
34,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,161.0,679.88,13.9,0.0,9.48,0.0,0.0,0.0,0.0,0.0,0.0,4.77,119731.0,0.119731,1197.31,1359.04,1359.04,1.0,340692.0,3.40692,340.692,9.48
35,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,212.0,679.88,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,158861.0,0.158861,1588.61,1803.19,1803.19,1.0,452036.0,4.52036,452.036,0.0
37,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,250.0,679.88,2.85,0.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.3,14984.0,0.014984,149.84,170.08,170.08,2.0,42637.0,0.42637,42.637,1.93
39,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,288.0,679.88,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,51356.0,0.051356,513.56,582.93,582.93,3.0,146132.0,1.46132,146.132,0.0
40,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,8.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,288.0,679.88,9.73,0.0,5.67,0.0,0.0,0.0,0.0,0.0,0.0,2.54,282870.0,0.28287,2828.7,3210.78,3210.78,2.5,804902.0,8.04902,804.902,5.67
44,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,327.0,679.88,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,345042.0,0.345042,3450.42,3916.48,3916.48,3.0,981811.0,9.81811,981.811,0.0
45,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,8.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,327.0,679.88,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,25505.0,0.025505,255.05,289.5,289.5,2.0,72574.0,0.72574,72.574,0.0
47,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,12.0,513.52,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,218344.0,0.218344,2183.44,2478.37,2478.37,3.0,631219.0,6.31219,631.219,0.0
49,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,28.0,513.52,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,325693.0,0.325693,3256.93,3696.86,3696.86,1.0,941559.0,9.41559,941.559,0.0
50,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,28.0,513.52,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,6182.0,0.006182,61.82,70.17,70.17,2.0,17872.0,0.17872,17.872,0.0
51,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,66.0,513.52,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,355939.0,0.355939,3559.39,4038.68,4040.17,2.5,1028998.0,10.28998,1028.998,0.0
53,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,100.0,1.0,1.0,0.0,66.0,513.52,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,410299.0,0.410299,4102.99,4657.2,4657.2,2.0,1186149.0,11.86149,1186.149,0.0
54,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,8.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,66.0,513.52,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,37389.0,0.037389,373.89,424.39,424.39,1.0,108089.0,1.08089,108.089,0.0
58,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,82.0,513.52,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,11448.0,0.011448,114.48,129.94,129.94,1.75,33096.0,0.33096,33.096,0.0
59,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,8.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,82.0,513.52,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,124136.0,0.124136,1241.36,1409.04,1409.04,6.0,358869.0,3.58869,358.869,0.0
60,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,9.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,82.0,513.52,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,20811.0,0.020811,208.11,238.75,236.22,3.5,60163.0,0.60163,60.163,0.0
61,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,82.0,513.52,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,107324.0,0.107324,1073.24,1218.21,1218.21,2.0,310267.0,3.10267,310.267,0.0
62,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,11.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,82.0,513.52,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,30520.0,0.03052,305.2,346.42,346.42,1.0,88232.0,0.88232,88.232,0.0
63,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,12.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,82.0,513.52,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,20225.0,0.020225,202.25,229.57,229.57,1.5,58470.0,0.5847,58.47,0.0
64,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,13.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,82.0,513.52,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.18,5756.0,0.005756,57.56,65.33,65.33,0.5,16640.0,0.1664,16.64,0.0
65,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,14.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,82.0,513.52,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,16206.0,0.016206,162.06,183.95,183.95,1.0,46850.0,0.4685,46.85,0.0
67,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,25.0,4.0,1.0,0.0,98.0,513.52,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,7345.0,0.007345,73.45,83.37,83.37,2.0,21234.0,0.21234,21.234,0.0
68,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,98.0,513.52,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,76051.0,0.076051,760.51,865.65,863.23,1.75,219859.0,2.19859,219.859,0.0
69,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,98.0,513.52,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,83152.0,0.083152,831.52,943.84,943.84,3.0,240387.0,2.40387,240.387,0.0
70,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,9.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,98.0,513.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,11104.0,0.011104,111.04,126.04,126.04,1.0,32101.0,0.32101,32.101,0.0
71,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,10.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,98.0,513.52,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,5623.0,0.005623,56.23,63.87,63.82,1.25,16256.0,0.16256,16.256,0.0
72,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,11.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,98.0,513.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,11934.0,0.011934,119.34,135.46,135.46,1.0,34500.0,0.345,34.5,0.0
73,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,100.0,1.0,1.0,0.0,98.0,513.52,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.52,232047.0,0.232047,2320.47,2633.9,2633.9,2.0,670833.0,6.70833,670.833,0.0
75,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,114.0,513.52,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,33194.0,0.033194,331.94,376.78,376.78,1.0,95962.0,0.95962,95.962,0.0
77,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,130.0,513.52,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,245362.0,0.245362,2453.62,2785.04,2785.04,1.5,709326.0,7.09326,709.326,0.0
80,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,7.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,33.0,4.0,1.0,0.0,146.0,513.52,0.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,17686.0,0.017686,176.86,200.75,200.75,1.5,51129.0,0.51129,51.129,0.0
81,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,12.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,146.0,513.52,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,53064.0,0.053064,530.64,602.32,602.32,1.0,153405.0,1.53405,153.405,0.0
82,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,13.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,146.0,513.52,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,19620.0,0.01962,196.2,222.74,222.7,1.0,56721.0,0.56721,56.721,0.0
83,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,14.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,146.0,513.52,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,52316.0,0.052316,523.16,593.83,593.83,2.0,151242.0,1.51242,151.242,0.0
87,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,100.0,1.0,1.0,0.0,163.0,513.52,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,544736.0,0.544736,5447.36,6183.15,6183.15,4.0,1574798.0,15.74798,1574.798,0.0
88,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,100.0,1.0,1.0,0.0,163.0,513.52,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,283634.0,0.283634,2836.34,3219.45,3219.45,2.0,819968.0,8.19968,819.968,0.0
89,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,179.0,513.52,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,48692.0,0.048692,486.92,552.69,552.69,0.25,140766.0,1.40766,140.766,0.0
90,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,179.0,513.52,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,238017.0,0.238017,2380.17,2701.67,2701.67,1.0,688092.0,6.88092,688.092,0.0
91,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,179.0,513.52,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,44663.0,0.044663,446.63,506.96,506.96,2.0,129118.0,1.29118,129.118,0.0
93,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,100.0,1.0,1.0,0.0,179.0,513.52,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,327035.0,0.327035,3270.35,3712.09,3712.09,2.0,945438.0,9.45438,945.438,0.0
94,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,1.0,100.0,1.0,1.0,0.0,179.0,513.52,11.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,297391.0,0.297391,2973.91,3384.5,3375.61,2.0,859739.0,8.59739,859.739,0.0
