,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,Common way of prevention,Seed / Seedling Type,Was crop damaged?,Prevention/precaution measure taken?,Type of measure,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used  in  Meher (main) season?,What was the previous state of the field?,APERCENT,LANDUSE,Household Id,Sampling Weight,Quantity of indigenous seeds used,Quantity of UREA chemical fertilizer used,Quantity of DAP chemical fertilizer used,Quantity of Both UREA and DAP chemical fertilizer used,CERROR,AREB,Enumerator Area,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
36,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,52.0,304.11,9.06,0.0,0.0,0.0,0.3,265526.0,2655.26,2655.26,337.218,0.0
37,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,3.0,3.0,1.0,6.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,100.0,1.0,52.0,304.11,3.02,0.0,0.0,0.0,1.07,95685.0,956.85,956.85,121.52,0.0
39,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,67.0,304.11,6.04,3.16,0.0,0.0,1.37,367399.0,3679.35,3673.99,466.597,3.16
41,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,74.0,304.11,6.4,3.39,0.0,0.0,0.94,253893.0,2538.93,2538.93,322.444,3.39
42,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,74.0,304.11,6.4,5.53,0.0,0.0,0.68,254894.0,2548.94,2548.94,323.715,5.53
44,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,89.0,304.11,3.2,1.58,0.0,0.0,0.52,186091.0,1860.91,1860.91,236.336,1.58
46,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,89.0,304.11,1.02,0.0,0.0,0.0,0.18,40742.0,407.42,407.42,51.742,0.0
47,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,89.0,304.11,5.32,9.48,0.0,0.0,0.71,208179.0,2081.79,2081.79,264.387,9.48
48,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,89.0,304.11,3.2,0.0,0.0,0.0,0.02,114526.0,1145.26,1145.26,145.448,0.0
50,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,89.0,304.11,4.8,11.06,0.0,0.0,0.03,172279.0,1722.79,1722.79,218.794,11.06
52,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,96.0,304.11,3.2,0.0,0.0,0.0,0.5,42471.0,424.71,424.71,53.938,0.0
54,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,96.0,304.11,4.8,0.0,0.0,0.0,0.85,86213.0,863.23,862.13,109.491,0.0
55,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,96.0,304.11,4.0,0.0,0.0,0.0,0.88,51360.0,513.6,513.6,65.227,0.0
56,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,96.0,304.11,7.2,0.0,0.0,0.0,0.08,267019.0,2670.19,2670.19,339.114,0.0
58,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,111.0,304.11,12.0,0.0,0.0,0.0,1.2,433364.0,4333.64,4333.64,550.372,0.0
60,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,111.0,304.11,2.4,0.0,0.0,0.0,0.83,102575.0,1025.75,1025.75,130.27,0.0
61,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,118.0,304.11,3.2,0.0,0.0,0.0,0.99,60728.0,595.57,607.28,77.125,0.0
62,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,118.0,304.11,3.2,0.0,0.0,0.0,0.65,31546.0,315.46,315.46,40.063,0.0
63,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,3.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,100.0,1.0,118.0,304.11,6.4,0.0,0.0,0.0,1.42,230329.0,2023.58,2303.29,292.518,0.0
65,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,3.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,118.0,304.11,2.4,0.0,0.0,0.0,0.21,73594.0,735.94,735.94,93.464,0.0
67,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,132.0,304.11,3.2,2.37,0.0,0.0,0.57,94466.0,944.66,944.66,119.972,2.37
69,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,132.0,304.11,12.0,19.5,0.0,0.0,0.92,434402.0,4344.02,4344.02,551.691,19.5
70,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,132.0,304.11,11.2,20.0,0.0,0.0,0.9,406053.0,4012.36,4060.53,515.687,20.0
72,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,7.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,139.0,304.11,3.02,0.0,0.0,0.0,1.86,157929.0,1579.29,1579.29,200.57,0.0
73,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,139.0,304.11,9.06,0.0,0.0,0.0,0.66,412613.0,4126.14,4126.13,524.019,0.0
76,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,10.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,100.0,1.0,153.0,304.11,12.04,0.0,0.0,0.0,0.76,337605.0,3376.05,3376.05,428.758,0.0
77,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,153.0,304.11,16.0,0.0,0.0,0.0,4.64,221425.0,2214.25,2214.25,281.21,0.0
78,50.0,1.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,100.0,1.0,153.0,304.11,3.02,0.0,0.0,0.0,0.75,157397.0,1573.97,1573.97,199.894,0.0
79,50.0,1.0,1.0,1.0,7.0,2.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,153.0,304.11,8.0,0.0,0.0,0.0,0.7,228689.0,2299.01,2286.89,290.435,0.0
81,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,100.0,1.0,160.0,304.11,11.02,9.02,0.0,0.0,0.45,62296.0,3768.05,622.96,79.116,9.02
82,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,174.0,304.11,6.04,0.0,0.0,0.0,0.42,203064.0,2030.64,2030.64,257.891,0.0
83,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,174.0,304.11,6.04,0.0,0.0,0.0,2.17,404703.0,4047.03,4047.03,513.973,0.0
85,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,181.0,304.11,12.08,50.0,0.0,0.0,0.67,405979.0,4059.79,4059.79,515.593,50.0
87,50.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,195.0,304.11,4.8,0.0,0.0,0.0,2.24,95891.0,958.91,958.91,121.782,0.0
89,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,203.0,304.11,8.0,4.74,0.0,0.0,0.43,393585.0,3935.85,3935.85,499.853,4.74
90,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,203.0,304.11,6.4,4.74,0.0,0.0,1.01,337224.0,3372.24,3372.24,428.274,4.74
92,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,217.0,304.11,6.4,0.0,0.0,0.0,1.88,367306.0,3673.73,3673.06,466.479,0.0
93,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,217.0,304.11,8.0,0.0,0.0,0.0,0.82,410770.0,4107.7,4107.7,521.678,0.0
95,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,4.0,312.57,4.09,9.0,0.0,0.0,4.14,416059.0,4160.59,4160.59,848.76,9.0
96,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,4.0,312.57,3.05,22.5,0.0,0.0,1.22,260542.0,2605.42,2605.42,531.506,22.5
97,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,4.0,312.57,3.09,10.0,0.0,0.0,2.76,266510.0,2665.1,2665.1,543.68,10.0
99,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,100.0,1.0,18.0,312.57,5.02,0.0,0.0,0.0,3.64,267621.0,2676.21,2676.21,545.947,0.0
100,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,100.0,1.0,18.0,312.57,4.05,0.0,0.0,0.0,0.47,311684.0,3116.84,3116.84,635.835,0.0
101,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,8.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,18.0,312.57,4.05,0.0,0.0,0.0,1.27,222304.0,2223.04,2223.04,453.5,0.0
103,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,2.0,2.0,2.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,67.0,1.0,26.0,312.57,3.09,0.0,0.0,0.0,3.56,149559.0,1495.59,1495.59,305.1,0.0
104,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,3.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,26.0,312.57,4.05,0.0,0.0,0.0,1.41,341957.0,3440.96,3419.57,697.592,0.0
105,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,26.0,312.57,9.01,0.0,0.0,0.0,3.2,366944.0,3669.44,3669.44,748.566,0.0
107,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,41.0,312.57,3.02,0.0,0.0,0.0,1.08,264102.0,2641.02,2641.02,538.768,0.0
108,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,41.0,312.57,3.02,0.0,0.0,0.0,3.76,227654.0,2276.54,2276.54,464.414,0.0
109,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,8.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,41.0,312.57,2.06,0.0,0.0,0.0,3.43,124302.0,1243.02,1243.02,253.576,0.0
110,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,48.0,312.57,0.65,0.0,0.0,0.0,2.61,24418.0,244.18,244.18,49.813,0.0
112,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,100.0,1.0,48.0,312.57,6.5,12.0,0.0,0.0,0.96,267446.0,2674.4,2674.46,545.59,12.0
113,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,6.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,48.0,312.57,3.25,2.0,0.0,0.0,0.63,181277.0,1812.77,1812.77,369.805,2.0
116,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,69.0,312.57,5.2,0.0,10.5,0.0,2.49,282915.0,2829.15,2829.15,577.147,10.5
117,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,69.0,312.57,5.2,0.0,0.0,0.0,1.87,262512.0,2625.12,2625.12,535.524,0.0
119,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,83.0,312.57,7.8,0.0,0.0,0.0,0.59,330645.0,3306.45,3306.45,674.516,0.0
122,50.0,1.0,1.0,1.0,13.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,90.0,312.57,1.3,2.0,0.0,0.0,0.84,54992.0,549.92,549.92,112.184,2.0
123,50.0,1.0,1.0,1.0,13.0,2.0,2.0,1.0,1.0,5.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,90.0,312.57,3.2,2.0,0.0,0.0,2.33,134037.0,1340.37,1340.37,273.435,2.0
125,50.0,1.0,1.0,1.0,13.0,2.0,2.0,2.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,104.0,312.57,3.9,0.0,0.0,0.0,3.79,237075.0,2370.75,2370.75,483.633,0.0
126,50.0,1.0,1.0,1.0,13.0,2.0,2.0,2.0,6.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,104.0,312.57,1.03,0.0,0.0,0.0,1.53,81216.0,812.16,812.16,165.681,0.0
128,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,111.0,312.57,5.8,0.0,0.0,0.0,2.21,173138.0,1731.38,1731.38,353.202,0.0
130,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,125.0,312.57,4.5,0.0,0.0,0.0,2.75,271791.0,2717.91,2717.91,554.454,0.0
131,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,100.0,1.0,125.0,312.57,7.8,8.0,0.0,0.0,1.4,392118.0,3921.18,3921.18,799.921,8.0
133,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,1.0,10.0,1.0,6.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,125.0,312.57,2.6,2.0,0.0,0.0,2.33,142403.0,1424.03,1424.03,290.502,2.0
134,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,125.0,312.57,2.06,0.0,0.0,0.0,2.05,133415.0,1334.15,1334.15,272.167,0.0
135,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,100.0,1.0,125.0,312.57,5.02,0.0,0.0,0.0,1.21,251284.0,2512.84,2512.84,512.619,0.0
136,50.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,100.0,1.0,125.0,312.57,3.06,0.0,0.0,0.0,0.81,161714.0,1617.14,1617.14,329.897,0.0
141,50.0,1.0,1.0,1.0,13.0,2.0,2.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,159.0,312.57,3.9,0.0,0.0,0.0,0.17,300242.0,3002.42,3002.42,612.494,0.0
142,50.0,1.0,1.0,1.0,13.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,173.0,312.57,0.65,0.0,2.0,0.0,3.53,25775.0,260.94,257.75,52.581,2.0
